ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000300.SH,2005/12/30,923.451,933.45,933.999,921.834,932.031,-8.58,-0.9206,15600251,8517980.122
000300.SH,2006/1/4,941.428,926.559,941.428,926.412,923.451,17.977,1.9467,21126899,11442608.33
000300.SH,2006/1/5,959.134,943.85,959.625,942.308,941.428,17.706,1.8808,27311743,14693493.72
000300.SH,2006/1/6,970.032,961.915,975.628,956.04,959.134,10.898,1.1362,30286368,16170989.87
000300.SH,2006/1/9,975.253,971.089,976.273,966.053,970.032,5.221,0.5382,24329552,12626400.28
000300.SH,2006/1/10,978.154,975.282,978.277,964.43,975.253,2.901,0.2975,22735302,12344022.95
000300.SH,2006/1/11,973.477,977.644,983.39,963.394,978.154,-4.677,-0.4781,26524138,13488346.78
000300.SH,2006/1/12,983.716,972.389,984.076,968.538,973.477,10.239,1.0518,21896680,11028175.84
000300.SH,2006/1/13,978.809,985.039,988.111,973.685,983.716,-4.907,-0.4988,22281861,11215633.22
000300.SH,2006/1/16,961.439,977.886,977.886,960.879,978.809,-17.37,-1.7746,20305215,9896151.721
000300.SH,2006/1/17,964.29,959.395,965.984,952.234,961.439,2.851,0.2965,16037276,8076118.846
000300.SH,2006/1/18,983.622,964.16,984.672,963.077,964.29,19.332,2.0048,20823518,10389841.77
000300.SH,2006/1/19,991.222,985.232,992.272,978.278,983.622,7.6,0.7727,26455609,12714862.35
000300.SH,2006/1/20,993.34,991.572,994.5,987.06,991.222,2.118,0.2137,26147062,12929890.43
000300.SH,2006/1/23,996.162,993.744,997.332,989.342,993.34,2.822,0.2841,22546019,11459294.36
000300.SH,2006/1/24,999.093,997.791,1006.146,993.394,996.162,2.931,0.2942,24197991,13914239.77
000300.SH,2006/1/25,1009.597,998.828,1009.648,989.514,999.093,10.504,1.0514,21800758,11644197.38
000300.SH,2006/2/6,1033.234,1013.425,1033.354,1012.807,1009.597,23.637,2.3412,25038771,13466978.18
000300.SH,2006/2/7,1029.937,1034.678,1038.501,1019.936,1033.234,-3.297,-0.3191,32954787,17669257.81
000300.SH,2006/2/8,1033.072,1028.445,1033.399,1022.937,1029.937,3.135,0.3044,26986729,13692515.18
000300.SH,2006/2/9,1019.599,1033.192,1033.192,1017.047,1033.072,-13.473,-1.3042,23839601,12115067.17
000300.SH,2006/2/10,1032.337,1019.416,1032.598,1018.482,1019.599,12.738,1.2493,22024453,11411753.87
000300.SH,2006/2/13,1031.614,1034.381,1034.642,1021.839,1032.337,-0.723,-0.07,22157298,11454695.54
000300.SH,2006/2/14,1038.531,1032.645,1038.81,1030.461,1031.614,6.917,0.6705,18556220,9730559.347
000300.SH,2006/2/15,1041.66,1040.332,1048.344,1038.744,1038.531,3.129,0.3013,24784628,12747811.51
000300.SH,2006/2/16,1020.121,1041.665,1041.665,1019.21,1041.66,-21.539,-2.0678,26159892,13407183.73
000300.SH,2006/2/17,1020.368,1020.063,1028.574,1015.992,1020.121,0.247,0.0242,21026875,10774127.96
000300.SH,2006/2/20,1021.639,1020.74,1030.052,1020.015,1020.368,1.271,0.1246,18818883,10303300.14
000300.SH,2006/2/21,1038.816,1020.977,1038.937,1014.663,1021.639,17.177,1.6813,23678039,13180216.4
000300.SH,2006/2/22,1037.885,1039.649,1046.45,1036.38,1038.816,-0.931,-0.0896,25380704,13435059.02
000300.SH,2006/2/23,1041.373,1038.253,1041.592,1029.248,1037.885,3.488,0.3361,19785037,10259755.54
000300.SH,2006/2/24,1049.444,1041.97,1049.688,1041.97,1041.373,8.071,0.775,19676104,10286380.8
000300.SH,2006/2/27,1047.845,1055.947,1057.223,1045.967,1049.444,-1.599,-0.1524,22872099,12520438.96
000300.SH,2006/2/28,1053.01,1046.713,1053.72,1033.661,1047.845,5.165,0.4929,19353267,10427830.68
000300.SH,2006/3/1,1056.619,1051.759,1057.693,1049.642,1053.01,3.609,0.3427,19425730,10518419.42
000300.SH,2006/3/2,1038.666,1055.858,1056.053,1034.68,1056.619,-17.953,-1.6991,24877861,13748692.91
000300.SH,2006/3/3,1041.677,1037.988,1043.422,1029.561,1038.666,3.011,0.2899,21200539,11437141.7
000300.SH,2006/3/6,1038.873,1041.659,1044.417,1036.108,1041.677,-2.804,-0.2692,17870963,9091203.924
000300.SH,2006/3/7,1014.973,1037.928,1037.976,1013.142,1038.873,-23.9,-2.3006,19336516,9676508.8
000300.SH,2006/3/8,1009.271,1012.578,1014.965,999.931,1014.973,-5.702,-0.5618,17463055,8818082.801
000300.SH,2006/3/9,1004.344,1006.965,1010.91,1002.196,1009.271,-4.927,-0.4882,12735099,6640051.345
000300.SH,2006/3/10,1008.897,1004.747,1011.762,1004.688,1004.344,4.553,0.4533,11887983,6337829.115
000300.SH,2006/3/13,1019.864,1008.803,1020.876,1008.513,1008.897,10.967,1.087,11765911,6101943.506
000300.SH,2006/3/14,1018.272,1020.468,1021.651,1012.112,1019.864,-1.592,-0.1561,11348030,5861599.356
000300.SH,2006/3/15,1028.958,1018.154,1028.965,1017.081,1018.272,10.686,1.0494,14842068,7822300.458
000300.SH,2006/3/16,1027.616,1028.96,1029.805,1025.523,1028.958,-1.342,-0.1304,14784339,7936360.041
000300.SH,2006/3/17,1024.015,1027.637,1029.559,1021.081,1027.616,-3.601,-0.3504,15001924,7945174.864
000300.SH,2006/3/20,1037.659,1024.502,1037.908,1019.647,1024.015,13.644,1.3324,15389912,8246315.688
000300.SH,2006/3/21,1040.757,1037.949,1047.051,1036.235,1037.659,3.098,0.2986,19077662,10271579.94
000300.SH,2006/3/22,1047.666,1041.138,1047.939,1036.706,1040.757,6.909,0.6638,18640575,10034541.92
000300.SH,2006/3/23,1048.537,1047.349,1049.325,1042.825,1047.666,0.871,0.0831,20467885,10825049.82
000300.SH,2006/3/24,1042.601,1049.122,1051.757,1041.231,1048.537,-5.936,-0.5661,20098237,11031900.34
000300.SH,2006/3/27,1050.707,1042.629,1050.707,1037.076,1042.601,8.106,0.7775,17134070,9201788.18
000300.SH,2006/3/28,1055.982,1050.068,1056.516,1048.636,1050.707,5.275,0.502,22273999,10630507.5
000300.SH,2006/3/29,1065.294,1058.738,1074.038,1057.678,1055.982,9.312,0.8818,30526345,15882110.48
000300.SH,2006/3/30,1055.634,1065.843,1067.99,1055.137,1065.294,-9.66,-0.9068,22012494,12089930.82
000300.SH,2006/3/31,1061.088,1053.854,1061.473,1050.222,1055.634,5.454,0.5167,22276190,12045672.45
000300.SH,2006/4/3,1079.322,1061.962,1079.366,1061.962,1061.088,18.234,1.7184,27729761,15703156.87
000300.SH,2006/4/4,1089.371,1080.857,1089.371,1076.198,1079.322,10.049,0.931,31148757,17525218.33
000300.SH,2006/4/5,1099.97,1091.175,1100.558,1089.549,1089.371,10.599,0.9729,32936914,18539588.01
000300.SH,2006/4/6,1103.237,1102.543,1109.683,1097.316,1099.97,3.267,0.297,36167049,19687813.54
000300.SH,2006/4/7,1103.154,1102.944,1105.104,1091.894,1103.237,-0.083,-0.0075,32570860,17760103.66
000300.SH,2006/4/10,1117.91,1104.321,1118.082,1100.69,1103.154,14.756,1.3376,32067520,17246470.93
000300.SH,2006/4/11,1123.308,1120.163,1126.089,1112.007,1117.91,5.398,0.4829,35607520,19796708.29
000300.SH,2006/4/12,1117.073,1123.782,1123.782,1116.149,1123.308,-6.235,-0.5551,30333845,15991141.46
000300.SH,2006/4/13,1093.925,1116.837,1122.394,1093.508,1117.073,-23.148,-2.0722,33824146,17190084.95
