ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000688.SH,2025-12-31,1344.2002,1367.1657,1368.4801,1342.6831,1359.8734,-15.6732,-1.1525,7306915.0,49284581.754
000688.SH,2025-12-30,1359.8734,1346.1321,1367.0072,1346.0288,1346.3188,13.5546,1.0068,7941505.0,59271326.468
000688.SH,2025-12-29,1346.3188,1345.9802,1364.2723,1341.9423,1345.8267,0.4921,0.0366,10390297.0,58488935.108
000688.SH,2025-12-26,1345.8267,1346.1092,1356.1084,1339.1406,1349.0577,-3.231,-0.2395,8521601.0,45190362.3
000688.SH,2025-12-25,1349.0577,1347.784,1356.6039,1339.9659,1352.1261,-3.0684,-0.2269,7262305.0,44828071.714
000688.SH,2025-12-24,1352.1261,1342.1283,1352.7428,1332.9155,1340.015,12.1111,0.9038,7339090.0,51088300.754
000688.SH,2025-12-23,1340.015,1333.5388,1348.5381,1331.3854,1335.2451,4.7699,0.3572,7627586.0,52823796.961
000688.SH,2025-12-22,1335.2451,1314.0663,1338.1446,1314.0663,1308.5889,26.6562,2.037,8018670.0,55138663.623
000688.SH,2025-12-19,1308.5889,1314.7502,1323.8595,1306.7958,1305.9664,2.6225,0.2008,6436585.0,38885173.625
000688.SH,2025-12-18,1305.9664,1314.6652,1323.6761,1305.9664,1325.3349,-19.3685,-1.4614,6270465.0,38718647.751
000688.SH,2025-12-17,1325.3349,1294.6972,1327.7613,1289.2353,1293.3824,31.9525,2.4705,7738921.0,50178487.844
000688.SH,2025-12-16,1293.3824,1313.5261,1317.1537,1286.252,1318.9064,-25.524,-1.9352,7330726.0,47152141.125
000688.SH,2025-12-15,1318.9064,1333.3613,1343.7814,1318.5303,1348.8808,-29.9744,-2.2222,8470120.0,58345710.995
000688.SH,2025-12-12,1348.8808,1324.3004,1351.5578,1314.0109,1325.8307,23.0501,1.7385,12189711.0,83865891.924
000688.SH,2025-12-11,1325.8307,1349.6688,1350.8666,1325.8307,1346.7028,-20.8721,-1.5499,8124996.0,53240107.24
000688.SH,2025-12-10,1346.7028,1337.5242,1350.6529,1317.7113,1347.1052,-0.4024,-0.0299,8273640.0,55356792.115
000688.SH,2025-12-09,1347.1052,1338.845,1358.8994,1337.3184,1350.795,-3.6898,-0.2732,7057057.0,54818699.08
000688.SH,2025-12-08,1350.795,1325.9696,1360.7108,1325.7382,1326.1014,24.6936,1.8621,8311050.0,63951607.38
000688.SH,2025-12-05,1326.1014,1319.7225,1330.5857,1303.7161,1326.1646,-0.0632,-0.0048,7091686.0,49821496.521
000688.SH,2025-12-04,1326.1646,1303.9925,1326.2262,1294.7576,1308.3672,17.7974,1.3603,6778771.0,48747634.506
000688.SH,2025-12-03,1308.3672,1317.5816,1324.7056,1303.3375,1320.1564,-11.7892,-0.893,7027058.0,43255406.999
000688.SH,2025-12-02,1320.1564,1334.0021,1335.7461,1315.4639,1336.7561,-16.5997,-1.2418,7621464.0,47078535.234
