ts_code,trade_date,total_mv,float_mv,total_share,float_share,free_share,turnover_rate,turnover_rate_f,pe,pe_ttm,pb
399006.SZ,2013/12/25,8.14692E+11,4.89785E+11,33853035956,21282443928,15550894678,2.61,3.57,64.72,57.7,5.59
399006.SZ,2013/12/26,8.03032E+11,4.82896E+11,33853035956,21292601229,15556169678,2.64,3.62,63.79,56.87,5.51
399006.SZ,2013/12/27,8.17827E+11,4.92497E+11,33853035956,21292601229,15573169286,2.54,3.48,64.97,57.92,5.61
399006.SZ,2013/12/30,8.25512E+11,4.99188E+11,33852634956,21391787229,15673512587,2.56,3.49,65.58,58.47,5.66
399006.SZ,2013/12/31,8.24215E+11,4.9825E+11,33867483956,21391787229,15673512587,2.41,3.29,65.48,58.37,5.65
399006.SZ,2014/1/2,8.54124E+11,5.15678E+11,33000426956,20912696527,15244570576,2.62,3.59,68.36,60.16,5.91
399006.SZ,2014/1/3,8.67123E+11,5.22861E+11,33000324956,20917655527,15245929576,2.97,4.07,69.4,61.08,6
399006.SZ,2014/1/6,8.48776E+11,5.11175E+11,33000324956,20917655527,15245929576,2.66,3.65,67.93,59.79,5.88
399006.SZ,2014/1/7,8.66957E+11,5.22089E+11,33000535002,20917944534,15260909741,2.54,3.49,69.39,61.07,6
399006.SZ,2014/1/8,9.00861E+11,5.4286E+11,33000535002,20950150520,15266198748,4.15,5.69,72.1,63.46,6.24
399006.SZ,2014/1/9,8.8503E+11,5.34042E+11,33000535002,21014077909,15265085572,3.63,5,70.84,62.31,6.13
399006.SZ,2014/1/10,8.6783E+11,5.23665E+11,33001511002,21014077909,15265085572,2.09,2.88,69.46,61.1,6.01
399006.SZ,2014/1/13,8.74238E+11,5.27713E+11,33001511002,21014077909,15265085572,2.12,2.92,69.97,61.46,6.04
399006.SZ,2014/1/14,8.97202E+11,5.42582E+11,33001511002,21014077909,15270585572,2.29,3.15,71.81,63.08,6.2
399006.SZ,2014/1/15,9.06835E+11,5.48334E+11,33001640352,21028744910,15271189789,2.27,3.12,72.58,63.76,6.27
399006.SZ,2014/1/16,8.92985E+11,5.4055E+11,33001640352,21028744910,15279989789,2.28,3.14,71.47,62.78,6.17
399006.SZ,2014/1/17,8.93249E+11,5.41054E+11,33001640352,21028744910,15279989789,2.28,3.14,71.49,62.8,6.18
399006.SZ,2014/1/20,8.78857E+11,5.33195E+11,33001640352,21046067650,15279989789,2.45,3.37,70.34,61.76,6.08
399006.SZ,2014/1/21,9.00471E+11,5.46351E+11,33002265352,21057150249,15284998529,2.47,3.41,72.07,63.28,6.22
399006.SZ,2014/1/22,9.1585E+11,5.55363E+11,33002265352,21057150249,15300106386,3.04,4.18,73.3,64.36,6.33
399006.SZ,2014/1/23,9.35872E+11,5.66677E+11,33002265352,21057905825,15302884478,3.5,4.82,74.91,65.76,6.47
399006.SZ,2014/1/24,9.49686E+11,5.75205E+11,33026517693,21057905825,15302884478,3.21,4.41,76.01,66.89,6.54
399006.SZ,2014/1/27,9.4565E+11,5.74966E+11,33026517693,21122262075,15304099104,3.33,4.6,75.74,66.71,6.51
399006.SZ,2014/1/28,9.41075E+11,5.71808E+11,33026517693,21122549647,15315799104,2.61,3.6,75.37,66.35,6.48
399006.SZ,2014/1/29,9.56992E+11,5.81574E+11,33026517693,21122621968,15326799104,2.62,3.61,76.65,67.47,6.59
399006.SZ,2014/1/30,9.56364E+11,5.82555E+11,33027765693,21132851168,15326799104,2.57,3.54,75.87,67.26,6.58
399006.SZ,2014/2/7,9.78362E+11,5.99748E+11,33027765693,21272497398,15341880068,2.63,3.65,77.61,68.81,6.73
399006.SZ,2014/2/10,9.91519E+11,6.08473E+11,33027765693,21272497398,15341880068,3.42,4.74,78.66,69.73,6.82
399006.SZ,2014/2/11,9.7533E+11,5.98625E+11,33027765693,21272497398,15341880068,3.69,5.12,77.37,68.6,6.71
399006.SZ,2014/2/12,9.83724E+11,6.03829E+11,33027765693,21272497398,15345380068,3.11,4.32,78.04,69.19,6.77
399006.SZ,2014/2/13,9.48584E+11,5.82868E+11,33027765693,21272497398,15370100068,3.6,4.98,75.25,66.72,6.52
399006.SZ,2014/2/14,9.67343E+11,5.94644E+11,33027765693,21272497398,15372000068,2.73,3.78,76.74,68.03,6.65
399006.SZ,2014/2/17,9.93867E+11,6.11268E+11,33027765693,21269838786,15356127019,3.39,4.69,78.77,69.81,6.83
399006.SZ,2014/2/18,9.85971E+11,6.07718E+11,33027765693,21302135310,15363113019,3.1,4.3,78.07,69.33,6.77
399006.SZ,2014/2/19,9.83936E+11,6.07036E+11,33039988156,21304616273,15365333407,3.13,4.34,77.9,69.54,6.75
399006.SZ,2014/2/20,9.65218E+11,5.95638E+11,33039988156,21304616273,15383808407,2.88,3.99,76.42,68.27,6.62
399006.SZ,2014/2/21,9.68832E+11,5.97594E+11,33049457717,21304616273,15383808407,2.28,3.15,76.71,68.51,6.63
399006.SZ,2014/2/24,9.82447E+11,6.08024E+11,33049457717,21361541273,15401964370,2.62,3.64,77.79,69.49,6.72
399006.SZ,2014/2/25,9.40037E+11,5.81678E+11,33049457717,21361541273,15401964370,4.11,5.7,74.43,66.19,6.42
399006.SZ,2014/2/26,9.36955E+11,5.80655E+11,33049457717,21368808587,15401964370,2.9,4.03,73.88,65.81,6.39
399006.SZ,2014/2/27,9.05927E+11,5.61072E+11,33049457717,21368808587,15401964370,3.08,4.28,71.43,62.72,6.14
399006.SZ,2014/2/28,9.19236E+11,5.6947E+11,33057514817,21368817687,15412184084,2.36,3.27,70.85,59.76,6.12
399006.SZ,2014/3/3,9.37496E+11,5.8159E+11,33057514817,21368817687,15412184084,2.26,3.14,72.26,60.95,6.24
399006.SZ,2014/3/4,9.34672E+11,5.79404E+11,33057514817,21368817687,15412184084,2.25,3.12,72.04,60.76,6.22
399006.SZ,2014/3/5,9.35487E+11,5.80122E+11,33058417217,21369748099,15412184084,2.2,3.05,71.91,60.82,6.23
399006.SZ,2014/3/6,9.33807E+11,5.79251E+11,33058417217,21386236219,15413114496,2.35,3.26,71.79,60.71,6.22
399006.SZ,2014/3/7,9.33085E+11,5.79418E+11,33059384317,21388102318,15418272996,2.35,3.26,71.58,60.66,6.21
399006.SZ,2014/3/10,9.012E+11,5.62615E+11,33059384317,21721578690,15448221493,2.32,3.26,69.13,58.59,6
399006.SZ,2014/3/11,8.94165E+11,5.57443E+11,33059384317,21721578690,15456365980,1.91,2.68,68.6,58.13,5.95
399006.SZ,2014/3/12,8.97859E+11,5.58662E+11,33059308501,21732104686,15456447508,2.08,2.92,68.76,58.37,5.98
399006.SZ,2014/3/13,9.21465E+11,5.71718E+11,33059308501,21619054686,15456739978,1.59,2.22,69.28,59.9,6.13
399006.SZ,2014/3/14,9.1957E+11,5.70554E+11,33066388801,21619991386,15468388146,1.51,2.11,69.09,59.77,6.12
399006.SZ,2014/3/17,9.46638E+11,5.89204E+11,33067855881,21639152235,15469787601,1.76,2.46,70.42,61.53,6.3
399006.SZ,2014/3/18,9.50685E+11,5.93599E+11,33072154745,21686268403,15483925810,2.24,3.13,70.08,61.79,6.32
