ts_code,trade_date,total_mv,float_mv,total_share,float_share,free_share,turnover_rate,turnover_rate_f,pe,pe_ttm,pb
000300.SH,2025-12-31,67646282066525.0,51829567108340.0,4375556562264.0,3288880897538.0,1107268238386.0,0.52,1.54,14.82,14.17,1.49
000300.SH,2025-12-30,67706801899225.0,51927078492682.0,4375719312264.0,3288878434862.0,1107106691817.0,0.55,1.63,14.84,14.19,1.49
000300.SH,2025-12-29,67574082703592.0,51816971384586.0,4375719311876.0,3288217656592.0,1106601270349.0,0.61,1.81,14.81,14.16,1.49
000300.SH,2025-12-26,67520705567719.0,51832880001956.0,4375608573066.0,3288214458453.0,1106599851710.0,0.53,1.59,14.8,14.15,1.49
000300.SH,2025-12-25,67462187827703.0,51812015815890.0,4375608532211.0,3288192467798.0,1106762060349.0,0.42,1.26,14.78,14.13,1.49
000300.SH,2025-12-24,67371334269009.0,51718492845438.0,4375609090538.0,3288192470948.0,1106757683522.0,0.47,1.39,14.76,14.11,1.48
000300.SH,2025-12-23,67272794690746.0,51620772073438.0,4375609220105.0,3288192470948.0,1106757683522.0,0.51,1.53,14.74,14.09,1.48
000300.SH,2025-12-22,67083199117652.0,51473947009302.0,4375726479050.0,3288301996959.0,1106867515978.0,0.5,1.49,14.7,14.05,1.48
000300.SH,2025-12-19,66665744954463.0,51055675851361.0,4375726449606.0,3286050112309.0,1106848999428.0,0.47,1.4,14.61,13.97,1.47
000300.SH,2025-12-18,66625958155720.0,51001792149326.0,4375771526818.0,3286095189521.0,1108029853590.0,0.46,1.37,14.6,13.96,1.47
000300.SH,2025-12-17,66628405443764.0,51092003785805.0,4375901506307.0,3286225158810.0,1108211481481.0,0.54,1.61,14.6,13.96,1.47
000300.SH,2025-12-16,65713181614358.0,50329388359268.0,4375903597277.0,3286225888780.0,1108212211451.0,0.5,1.49,14.4,13.77,1.45
000300.SH,2025-12-15,66312347316211.0,50809014592373.0,4375896892365.0,3286219183868.0,1108205506539.0,0.51,1.51,14.53,13.89,1.46
000300.SH,2025-12-12,65947333319335.0,50669686061319.0,4327828138063.0,3277246181430.0,1103305349925.0,0.65,1.93,14.51,13.91,1.45
000300.SH,2025-12-11,65810506389979.0,50561837294289.0,4327824620969.0,3277243670014.0,1103299799009.0,0.51,1.53,14.48,13.88,1.45
000300.SH,2025-12-10,66248850543937.0,50880008293967.0,4327823948342.0,3277243734699.0,1103299863694.0,0.52,1.53,14.57,13.97,1.45
000300.SH,2025-12-09,66539429615613.0,51088512380986.0,4327823040205.0,3277242459579.0,1103326278574.0,0.56,1.67,14.64,14.03,1.46
000300.SH,2025-12-08,66761443671949.0,51245502208355.0,4327822734187.0,3277242058743.0,1103325167304.0,0.61,1.81,14.69,14.08,1.46
000300.SH,2025-12-05,66468058447508.0,50955096190015.0,4327794172475.0,3277088042867.0,1103295850792.0,0.6,1.78,14.62,14.02,1.46
000300.SH,2025-12-04,66171337781316.0,50694428270736.0,4327794806663.0,3277088677055.0,1103296484980.0,0.45,1.33,14.56,13.96,1.45
000300.SH,2025-12-03,66072356008528.0,50607840084467.0,4327785898824.0,3277087915636.0,1103276303770.0,0.52,1.54,14.53,13.94,1.42
000300.SH,2025-12-02,66463335044590.0,50860387534372.0,4327750879529.0,3277087467165.0,1103275855299.0,0.45,1.35,14.62,14.02,1.46
000300.SH,2025-12-01,66628230433361.0,51010660409430.0,4326752926927.0,3277091136791.0,1103279524925.0,0.61,1.82,14.66,14.05,1.46
000300.SH,2025-11-28,66099297677077.0,50537561911450.0,4326724773839.0,3275086492573.0,1102514990998.0,0.44,1.3,14.54,13.94,1.45
000300.SH,2025-11-27,66126058880061.0,50510496876252.0,4326700411402.0,3275058162936.0,1102721737061.0,0.46,1.36,14.55,13.95,1.45
000300.SH,2025-11-26,66002439423535.0,50401918917361.0,4326252639026.0,3275057812856.0,1102782935278.0,0.48,1.42,14.52,13.92,1.45
000300.SH,2025-11-25,65993099213994.0,50320168808626.0,4326162091999.0,3275056411942.0,1102778939243.0,0.52,1.54,14.52,13.92,1.45
000300.SH,2025-11-24,65467026528171.0,49914028684854.0,4326162091999.0,3275056411942.0,1102449086272.0,0.57,1.69,14.4,13.81,1.44
000300.SH,2025-11-21,65769998778882.0,50119252979270.0,4326306139086.0,3274342281551.0,1102675089246.0,0.68,2.02,14.47,13.87,1.44
000300.SH,2025-11-20,67037274253691.0,51192349277188.0,4326142936812.0,3274178507898.0,1102501474669.0,0.59,1.76,14.75,14.14,1.47
000300.SH,2025-11-19,67139573419990.0,51378031147823.0,4326142636255.0,3274178207341.0,1102496237649.0,0.53,1.57,14.77,14.16,1.47
000300.SH,2025-11-18,66644908097816.0,51035450897390.0,4326142404549.0,3274177975634.0,1102489902388.0,0.54,1.61,14.66,14.06,1.46
000300.SH,2025-11-17,67020776065553.0,51349353920966.0,4326097134242.0,3274133276706.0,1102441363460.0,0.58,1.71,14.74,14.14,1.47
000300.SH,2025-11-14,67504680261817.0,51698431946156.0,4326099179442.0,3274133499519.0,1102435324820.0,0.59,1.74,14.85,14.24,1.48
000300.SH,2025-11-13,68304605253485.0,52402612078108.0,4326100091438.0,3274133353240.0,1102435178541.0,0.63,1.88,15.02,14.41,1.5
000300.SH,2025-11-12,67851733173062.0,51980085371528.0,4326100092406.0,3274101211945.0,1102344831946.0,0.64,1.9,14.93,14.31,1.49
000300.SH,2025-11-11,67664099311731.0,51884972488589.0,4326099541901.0,3274100661440.0,1102333887388.0,0.57,1.69,14.88,14.27,1.49
000300.SH,2025-11-10,68099444303290.0,52269166785224.0,4326302829526.0,3274171728740.0,1102405005898.0,0.72,2.14,14.98,14.36,1.49
000300.SH,2025-11-07,67723301568248.0,52017320649529.0,4326300649656.0,3274171358065.0,1102403135223.0,0.65,1.93,14.9,14.28,1.49
000300.SH,2025-11-06,67935301626884.0,52186098657898.0,4326294695879.0,3274116651456.0,1102348428614.0,0.68,2.03,14.94,14.33,1.49
000300.SH,2025-11-05,67212394857262.0,51589542377460.0,4326185710778.0,3274099231536.0,1102291027894.0,0.62,1.84,14.78,14.18,1.48
000300.SH,2025-11-04,67186270967932.0,51519611527428.0,4326176058744.0,3274091613203.0,1101738663228.0,0.71,2.12,14.78,14.17,1.47
000300.SH,2025-11-03,67339487777789.0,51729656583970.0,4326175932978.0,3274091288537.0,1101710282989.0,0.73,2.18,14.81,14.2,1.48
000300.SH,2025-10-31,66916576047523.0,51464878380183.0,4326164781912.0,3274090562256.0,1101553033126.0,0.86,2.56,14.72,14.11,1.47
000300.SH,2025-10-30,67826752288738.0,52216555649701.0,4326192757853.0,3274115219517.0,1104791757652.0,0.83,2.47,14.92,14.49,1.51
000300.SH,2025-10-29,68231898591987.0,52563149750298.0,4326192757853.0,3274114677362.0,1105383537566.0,0.75,2.23,15.01,14.62,1.53
000300.SH,2025-10-28,67766810132238.0,52113780238859.0,4325560710374.0,3274110509727.0,1105561761455.0,0.67,2.0,14.91,14.62,1.52
000300.SH,2025-10-27,67992140476340.0,52273070292919.0,4325559608707.0,3274109385824.0,1107444817833.0,0.8,2.37,14.96,14.69,1.53
000300.SH,2025-10-24,67217857855120.0,51619995201685.0,4324908324436.0,3273458102528.0,1107132119493.0,0.64,1.89,14.79,14.56,1.51
000300.SH,2025-10-23,66714564184153.0,51183689162041.0,4324165080848.0,3273451070017.0,1107107071351.0,0.61,1.81,14.68,14.46,1.5
000300.SH,2025-10-22,66433230687474.0,51001181947332.0,4324138967080.0,3273424956249.0,1107080957583.0,0.57,1.67,14.61,14.4,1.5
000300.SH,2025-10-21,66372063681340.0,51006564554105.0,4324139521999.0,3273425511168.0,1107080384653.0,0.66,1.95,14.6,14.37,1.5
000300.SH,2025-10-20,65569719513487.0,50288443002691.0,4324136165448.0,3273425489563.0,1107088402023.0,0.67,1.97,14.42,14.22,1.48
000300.SH,2025-10-17,65183389786682.0,49980927723096.0,4323820091653.0,3273109415768.0,1105772647029.0,0.78,2.32,14.34,14.15,1.47
000300.SH,2025-10-16,66326990326366.0,50927395040510.0,4322638125879.0,3272553986640.0,1105217217901.0,0.76,2.25,14.59,14.4,1.5
000300.SH,2025-10-15,65872774184785.0,50622215212692.0,4322638099192.0,3272551348541.0,1105205507449.0,0.87,2.58,14.49,14.31,1.49
000300.SH,2025-10-14,65117743790288.0,49965052573520.0,4322638009097.0,3272311479911.0,1104998810582.0,1.14,3.38,14.32,14.14,1.47
000300.SH,2025-10-13,65324935306274.0,50218370734424.0,4322163831480.0,3271836340632.0,1104973827498.0,0.96,2.85,14.37,14.19,1.47
000300.SH,2025-10-10,65581506754067.0,50467165161295.0,4322145567349.0,3271836255834.0,1104997276701.0,0.98,2.89,14.43,14.25,1.48
000300.SH,2025-10-09,66364316357044.0,51172163342421.0,4320979785400.0,3270670966044.0,1103863200933.0,1.06,3.15,14.6,14.42,1.5
000300.SH,2025-09-30,65477260340472.0,50432795628598.0,4320959424404.0,3270669728929.0,1103841466303.0,0.76,2.25,14.4,14.22,1.48
000300.SH,2025-09-29,65305020619790.0,50280711784957.0,4320866493379.0,3270615799800.0,1103787537174.0,0.84,2.49,14.36,14.19,1.47
000300.SH,2025-09-26,64645294243269.0,49696373007690.0,4320835177958.0,3270596652516.0,1102720120861.0,0.64,1.89,14.22,14.04,1.46
000300.SH,2025-09-25,65066437275822.0,50070035544842.0,4320835126871.0,3270596601429.0,1102709612966.0,0.7,2.08,14.31,14.13,1.47
000300.SH,2025-09-24,64895580940825.0,49904942415345.0,4320767042998.0,3270596517556.0,1102709529093.0,0.67,2.0,14.27,14.1,1.46
000300.SH,2025-09-23,64513577554081.0,49593152658783.0,4320663842035.0,3270492827048.0,1102398978937.0,0.77,2.29,14.19,14.01,1.46
