ts_code,csname,extname,cname,index_code,index_name,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type
159743.OF,博时湖北新旧动能转换ETF,博时湖北新旧动能转换ETF,博时中证湖北新旧动能转换交易型开放式指数证券投资基金,931393.CSI,中证湖北新旧动能转换指数,20211229,2022-01-11,L,SZ,博时基金,交通银行股份有限公司,,纯境内
159743.SZ,博时湖北新旧动能转换ETF,湖北ETF博时,博时中证湖北新旧动能转换交易型开放式指数证券投资基金,931393.CSI,中证湖北新旧动能转换指数,20211229,2022-01-11,L,SZ,博时基金,交通银行股份有限公司,0.5,纯境内
159745.OF,国泰中证全指建筑材料ETF,国泰中证全指建筑材料ETF,国泰中证全指建筑材料交易型开放式指数证券投资基金,931009.CSI,中证全指建筑材料指数,20210609,2021-06-18,L,SZ,国泰基金,中国银河证券股份有限公司,,纯境内
159745.SZ,国泰中证全指建筑材料ETF,建材ETF国泰,国泰中证全指建筑材料交易型开放式指数证券投资基金,931009.CSI,中证全指建筑材料指数,20210609,2021-06-18,L,SZ,国泰基金,中国银河证券股份有限公司,0.5,纯境内
159747.OF,南方中证香港科技ETF(QDII),南方中证香港科技ETF(QDII),南方中证香港科技交易型开放式指数证券投资基金(QDII),931574.CSI,中证香港科技指数,20210702,2021-07-14,L,SZ,南方基金,中国工商银行股份有限公司,,QDII
159747.SZ,南方中证香港科技ETF(QDII),香港科技ETF南方,南方中证香港科技交易型开放式指数证券投资基金(QDII),931574.CSI,中证香港科技指数,20210702,2021-07-14,L,SZ,南方基金,中国工商银行股份有限公司,0.5,QDII
159748.OF,富国中证沪港深创新药产业ETF,富国中证沪港深创新药产业ETF,富国中证沪港深创新药产业交易型开放式指数证券投资基金,931409.CSI,中证沪港深创新药产业指数,20211124,2021-12-03,L,SZ,富国基金,招商银行股份有限公司,,纯境内
159748.SZ,富国中证沪港深创新药产业ETF,创新药ETF富国,富国中证沪港深创新药产业交易型开放式指数证券投资基金,931409.CSI,中证沪港深创新药产业指数,20211124,2021-12-03,L,SZ,富国基金,招商银行股份有限公司,0.5,纯境内
159750.OF,招商中证香港科技ETF(QDII),招商中证香港科技ETF(QDII),招商中证香港科技交易型开放式指数证券投资基金(QDII),931574.CSI,中证香港科技指数,20220126,2022-02-14,L,SZ,招商基金,中国银行股份有限公司,,QDII
159750.SZ,招商中证香港科技ETF(QDII),港股科技50ETF招商,招商中证香港科技交易型开放式指数证券投资基金(QDII),931574.CSI,中证香港科技指数,20220126,2022-02-14,L,SZ,招商基金,中国银行股份有限公司,0.5,QDII
159751.OF,港股科技ETF,港股科技ETF,鹏华中证港股通科技交易型开放式指数证券投资基金,931573.CSI,中证港股通科技指数,20211210,2021-12-28,L,SZ,鹏华基金,中信证券股份有限公司,,纯境内
159751.SZ,港股科技ETF,港股通科技ETF鹏华,鹏华中证港股通科技交易型开放式指数证券投资基金,931573.CSI,中证港股通科技指数,20211210,2021-12-28,L,SZ,鹏华基金,中信证券股份有限公司,0.45,纯境内
159752.OF,申万菱信中证内地新能源主题ETF,申万菱信中证内地新能源主题ETF,申万菱信中证内地新能源主题交易型开放式指数证券投资基金,000941.CSI,中证内地新能源主题指数,20210720,2021-07-28,L,SZ,申万菱信基金,中信建投证券股份有限公司,,纯境内
159752.SZ,申万菱信中证内地新能源主题ETF,新能源ETF申万菱信,申万菱信中证内地新能源主题交易型开放式指数证券投资基金,000941.CSI,中证内地新能源主题指数,20210720,2021-07-28,L,SZ,申万菱信基金,中信建投证券股份有限公司,0.5,纯境内
159755.OF,广发国证新能源车电池ETF,广发国证新能源车电池ETF,广发国证新能源车电池交易型开放式指数证券投资基金,980032.SZ,国证新能源车电池指数,20210615,2021-06-24,L,SZ,广发基金,中国工商银行股份有限公司,,纯境内
159755.SZ,广发国证新能源车电池ETF,电池ETF广发,广发国证新能源车电池交易型开放式指数证券投资基金,980032.SZ,国证新能源车电池指数,20210615,2021-06-24,L,SZ,广发基金,中国工商银行股份有限公司,0.5,纯境内
159756.OF,BOCI电池ETF,BOCI电池ETF,中银证券国证新能源车电池交易型开放式指数证券投资基金,980032.SZ,国证新能源车电池指数,,,P,SZ,中银证券,交通银行股份有限公司,0.5,纯境内
159756.SZ,BOCI电池ETF,BOCI电池ETF,中银证券国证新能源车电池交易型开放式指数证券投资基金,980032.SZ,国证新能源车电池指数,,,P,SZ,中银证券,交通银行股份有限公司,,纯境内
159757.OF,景顺长城国证新能源车电池ETF,景顺长城国证新能源车电池ETF,景顺长城国证新能源车电池交易型开放式指数证券投资基金,980032.SZ,国证新能源车电池指数,20210721,2021-08-09,L,SZ,景顺长城基金,华夏银行股份有限公司,,纯境内
159757.SZ,景顺长城国证新能源车电池ETF,电池ETF景顺,景顺长城国证新能源车电池交易型开放式指数证券投资基金,980032.SZ,国证新能源车电池指数,20210721,2021-08-09,L,SZ,景顺长城基金,华夏银行股份有限公司,0.5,纯境内
159758.OF,华夏中证红利质量ETF,华夏中证红利质量ETF,华夏中证红利质量交易型开放式指数证券投资基金,931468.CSI,中证红利质量指数,20211220,2021-12-28,L,SZ,华夏基金,中信银行股份有限公司,,纯境内
159758.SZ,华夏中证红利质量ETF,红利质量ETF华夏,华夏中证红利质量交易型开放式指数证券投资基金,931468.CSI,中证红利质量指数,20211220,2021-12-28,L,SZ,华夏基金,中信银行股份有限公司,0.15,纯境内
159760.OF,医疗健康,医疗健康,泰康国证公共卫生与医疗健康交易型开放式指数证券投资基金,980016.SZ,国证公共卫生与医疗健康指数,20211206,2021-12-20,L,SZ,泰康基金,招商银行股份有限公司,,纯境内
159760.SZ,医疗健康,医疗健康ETF泰康,泰康国证公共卫生与医疗健康交易型开放式指数证券投资基金,980016.SZ,国证公共卫生与医疗健康指数,20211206,2021-12-20,L,SZ,泰康基金,招商银行股份有限公司,0.5,纯境内
159761.OF,国泰中证新材料主题ETF,国泰中证新材料主题ETF,国泰中证新材料主题交易型开放式指数证券投资基金,H30597.CSI,中证新材料主题指数,20211124,2021-12-13,L,SZ,国泰基金,杭州银行股份有限公司,,纯境内
