ts_code,month,count
000001.SZ,202110,1
000002.SZ,202110,1
000063.SZ,202110,2
000069.SZ,202110,1
000333.SZ,202110,1
000422.SZ,202110,1
000568.SZ,202110,6
000596.SZ,202110,1
000629.SZ,202110,1
000733.SZ,202110,2
000739.SZ,202110,1
000768.SZ,202110,1
000776.SZ,202110,2
000792.SZ,202110,1
000830.SZ,202110,1
000858.SZ,202110,4
000875.SZ,202110,1
000906.SZ,202110,1
000938.SZ,202110,1
000977.SZ,202110,1
000988.SZ,202110,1
001215.SZ,202110,1
002009.SZ,202110,1
002013.SZ,202110,2
002078.SZ,202110,1
002088.SZ,202110,1
002092.SZ,202110,1
002100.SZ,202110,1
002119.SZ,202110,1
002120.SZ,202110,1
002129.SZ,202110,2
002139.SZ,202110,1
002179.SZ,202110,1
002223.SZ,202110,1
002230.SZ,202110,1
002236.SZ,202110,1
002245.SZ,202110,1
002291.SZ,202110,1
002299.SZ,202110,1
002311.SZ,202110,1
002352.SZ,202110,2
002353.SZ,202110,1
002371.SZ,202110,4
002408.SZ,202110,1
002414.SZ,202110,2
002434.SZ,202110,1
002438.SZ,202110,1
002458.SZ,202110,1
002459.SZ,202110,1
002460.SZ,202110,1
002466.SZ,202110,1
002487.SZ,202110,1
002555.SZ,202110,2
002568.SZ,202110,1
002594.SZ,202110,1
002597.SZ,202110,2
002624.SZ,202110,1
002648.SZ,202110,1
002651.SZ,202110,1
002709.SZ,202110,1
002714.SZ,202110,2
002741.SZ,202110,1
002821.SZ,202110,3
002840.SZ,202110,1
002850.SZ,202110,1
002867.SZ,202110,2
002925.SZ,202110,1
002930.SZ,202110,1
002931.SZ,202110,1
002988.SZ,202110,1
003031.SZ,202110,1
003816.SZ,202110,1
300014.SZ,202110,1
300015.SZ,202110,1
300033.SZ,202110,1
300035.SZ,202110,2
300049.SZ,202110,1
300057.SZ,202110,1
300059.SZ,202110,6
300073.SZ,202110,1
300124.SZ,202110,1
300268.SZ,202110,1
300274.SZ,202110,3
300319.SZ,202110,1
300327.SZ,202110,1
300347.SZ,202110,1
300379.SZ,202110,1
300390.SZ,202110,1
300413.SZ,202110,1
300454.SZ,202110,1
300470.SZ,202110,1
300474.SZ,202110,1
300487.SZ,202110,2
300496.SZ,202110,3
300508.SZ,202110,1
300567.SZ,202110,1
300568.SZ,202110,1
300587.SZ,202110,2
300604.SZ,202110,1
300617.SZ,202110,1
300627.SZ,202110,1
300628.SZ,202110,1
300648.SZ,202110,1
300655.SZ,202110,1
300659.SZ,202110,1
300750.SZ,202110,3
300751.SZ,202110,1
300760.SZ,202110,2
300806.SZ,202110,1
300853.SZ,202110,1
300894.SZ,202110,1
300957.SZ,202110,2
300979.SZ,202110,1
300994.SZ,202110,2
301020.SZ,202110,1
600004.SH,202110,1
600021.SH,202110,1
600036.SH,202110,1
600048.SH,202110,2
600150.SH,202110,1
600171.SH,202110,1
600188.SH,202110,2
600199.SH,202110,1
600233.SH,202110,1
600256.SH,202110,3
600295.SH,202110,1
600372.SH,202110,1
600392.SH,202110,1
600436.SH,202110,1
600438.SH,202110,1
600507.SH,202110,1
600519.SH,202110,7
600546.SH,202110,1
600641.SH,202110,1
600660.SH,202110,1
600690.SH,202110,1
600702.SH,202110,3
600732.SH,202110,2
600745.SH,202110,1
600801.SH,202110,2
600875.SH,202110,1
600882.SH,202110,1
600884.SH,202110,2
600887.SH,202110,1
600888.SH,202110,1
600893.SH,202110,1
600900.SH,202110,1
600958.SH,202110,1
601058.SH,202110,1
601088.SH,202110,1
601111.SH,202110,1
601128.SH,202110,1
601225.SH,202110,2
601238.SH,202110,1
601567.SH,202110,1
601600.SH,202110,1
601615.SH,202110,2
601658.SH,202110,3
601666.SH,202110,2
601677.SH,202110,2
601678.SH,202110,1
601688.SH,202110,1
601808.SH,202110,2
601857.SH,202110,1
601888.SH,202110,5
601919.SH,202110,1
601966.SH,202110,1
603010.SH,202110,1
603155.SH,202110,2
603185.SH,202110,1
603217.SH,202110,1
603259.SH,202110,4
603290.SH,202110,2
603345.SH,202110,1
603351.SH,202110,1
603369.SH,202110,1
603496.SH,202110,1
603501.SH,202110,1
603520.SH,202110,1
603530.SH,202110,1
603558.SH,202110,1
603583.SH,202110,1
603667.SH,202110,1
603693.SH,202110,1
603707.SH,202110,1
603799.SH,202110,1
603816.SH,202110,1
603822.SH,202110,1
603899.SH,202110,1
603906.SH,202110,1
603915.SH,202110,1
605080.SH,202110,1
605268.SH,202110,1
605376.SH,202110,1
605499.SH,202110,1
688006.SH,202110,1
688023.SH,202110,1
688029.SH,202110,1
688059.SH,202110,1
688065.SH,202110,1
688089.SH,202110,1
688200.SH,202110,1
688301.SH,202110,1
688312.SH,202110,1
688319.SH,202110,1
688536.SH,202110,1
688551.SH,202110,1
688556.SH,202110,1
688598.SH,202110,2
688636.SH,202110,1
688686.SH,202110,1
688690.SH,202110,1
688696.SH,202110,1
688793.SH,202110,1
689009.SH,202110,1
