ts_code,month,count
000002.SZ,202402,1
000039.SZ,202402,1
000157.SZ,202402,2
000333.SZ,202402,2
000338.SZ,202402,1
000403.SZ,202402,1
000661.SZ,202402,1
000786.SZ,202402,1
000801.SZ,202402,2
000921.SZ,202402,1
000923.SZ,202402,1
000933.SZ,202402,1
000960.SZ,202402,1
000999.SZ,202402,2
001309.SZ,202402,1
002138.SZ,202402,1
002142.SZ,202402,1
002154.SZ,202402,1
002155.SZ,202402,1
002156.SZ,202402,1
002185.SZ,202402,1
002230.SZ,202402,1
002271.SZ,202402,1
002463.SZ,202402,2
002475.SZ,202402,1
002493.SZ,202402,1
002517.SZ,202402,3
002648.SZ,202402,1
002790.SZ,202402,1
002847.SZ,202402,1
002984.SZ,202402,1
300017.SZ,202402,1
300036.SZ,202402,1
300130.SZ,202402,1
300251.SZ,202402,1
300274.SZ,202402,1
300308.SZ,202402,3
300413.SZ,202402,2
300494.SZ,202402,1
300498.SZ,202402,1
300570.SZ,202402,1
300583.SZ,202402,1
300693.SZ,202402,1
300698.SZ,202402,1
300705.SZ,202402,1
300761.SZ,202402,1
300812.SZ,202402,1
300832.SZ,202402,1
300842.SZ,202402,1
300871.SZ,202402,1
301096.SZ,202402,1
301291.SZ,202402,1
600011.SH,202402,1
600023.SH,202402,1
600026.SH,202402,1
600027.SH,202402,2
600028.SH,202402,1
600029.SH,202402,1
600030.SH,202402,1
600036.SH,202402,1
600048.SH,202402,1
600050.SH,202402,3
600060.SH,202402,2
600066.SH,202402,1
600131.SH,202402,1
600150.SH,202402,1
600161.SH,202402,1
600188.SH,202402,3
600215.SH,202402,1
600229.SH,202402,1
600276.SH,202402,1
600285.SH,202402,1
600312.SH,202402,2
600377.SH,202402,1
600415.SH,202402,2
600489.SH,202402,2
600519.SH,202402,2
600547.SH,202402,3
600612.SH,202402,1
600674.SH,202402,1
600690.SH,202402,1
600699.SH,202402,1
600729.SH,202402,3
600764.SH,202402,1
600775.SH,202402,1
600803.SH,202402,1
600820.SH,202402,1
600845.SH,202402,1
600872.SH,202402,1
600886.SH,202402,1
600887.SH,202402,3
600919.SH,202402,1
600926.SH,202402,1
600933.SH,202402,2
600938.SH,202402,3
600941.SH,202402,3
600970.SH,202402,1
600975.SH,202402,1
600989.SH,202402,1
601019.SH,202402,1
601021.SH,202402,1
601077.SH,202402,1
601088.SH,202402,1
601100.SH,202402,1
601108.SH,202402,1
601111.SH,202402,1
601128.SH,202402,1
601156.SH,202402,1
601163.SH,202402,1
601169.SH,202402,1
601225.SH,202402,1
601288.SH,202402,1
601390.SH,202402,2
601456.SH,202402,1
601500.SH,202402,1
601601.SH,202402,3
601628.SH,202402,1
601688.SH,202402,1
601728.SH,202402,1
601800.SH,202402,1
601801.SH,202402,1
601857.SH,202402,2
601886.SH,202402,1
601898.SH,202402,2
601965.SH,202402,1
601985.SH,202402,2
601998.SH,202402,1
603019.SH,202402,1
603193.SH,202402,1
603369.SH,202402,1
603707.SH,202402,1
603871.SH,202402,1
603977.SH,202402,1
603993.SH,202402,4
605333.SH,202402,1
688008.SH,202402,1
688041.SH,202402,1
688047.SH,202402,1
688169.SH,202402,2
688212.SH,202402,1
688253.SH,202402,2
688256.SH,202402,2
688278.SH,202402,1
688318.SH,202402,1
688472.SH,202402,1
688480.SH,202402,1
688551.SH,202402,1
688618.SH,202402,1
