ts_code,month,count
000002.SZ,202409,1
000034.SZ,202409,1
000059.SZ,202409,1
000333.SZ,202409,8
000423.SZ,202409,1
000425.SZ,202409,2
000524.SZ,202409,1
000526.SZ,202409,2
000543.SZ,202409,2
000603.SZ,202409,1
000651.SZ,202409,1
000768.SZ,202409,1
000786.SZ,202409,2
000792.SZ,202409,1
000807.SZ,202409,1
000848.SZ,202409,1
000858.SZ,202409,3
000922.SZ,202409,1
000960.SZ,202409,1
000975.SZ,202409,3
001286.SZ,202409,1
001301.SZ,202409,1
001328.SZ,202409,1
001339.SZ,202409,1
001872.SZ,202409,1
002001.SZ,202409,2
002028.SZ,202409,2
002043.SZ,202409,1
002078.SZ,202409,1
002130.SZ,202409,1
002142.SZ,202409,2
002155.SZ,202409,1
002158.SZ,202409,1
002179.SZ,202409,1
002241.SZ,202409,2
002244.SZ,202409,1
002292.SZ,202409,1
002322.SZ,202409,1
002332.SZ,202409,1
002353.SZ,202409,2
002371.SZ,202409,2
002372.SZ,202409,1
002384.SZ,202409,1
002409.SZ,202409,1
002415.SZ,202409,1
002444.SZ,202409,1
002456.SZ,202409,1
002463.SZ,202409,1
002475.SZ,202409,7
002517.SZ,202409,1
002532.SZ,202409,1
002555.SZ,202409,1
002568.SZ,202409,1
002594.SZ,202409,13
002597.SZ,202409,1
002600.SZ,202409,3
002605.SZ,202409,2
002608.SZ,202409,1
002648.SZ,202409,2
002653.SZ,202409,1
002714.SZ,202409,4
002738.SZ,202409,1
002837.SZ,202409,1
002920.SZ,202409,1
002938.SZ,202409,2
003006.SZ,202409,2
300002.SZ,202409,3
300014.SZ,202409,1
300100.SZ,202409,1
300151.SZ,202409,1
300207.SZ,202409,1
300274.SZ,202409,11
300308.SZ,202409,2
300394.SZ,202409,1
300395.SZ,202409,2
300433.SZ,202409,1
300442.SZ,202409,1
300453.SZ,202409,1
300476.SZ,202409,1
300487.SZ,202409,1
300498.SZ,202409,3
300502.SZ,202409,4
300750.SZ,202409,8
300760.SZ,202409,1
300775.SZ,202409,1
300782.SZ,202409,1
300832.SZ,202409,1
300855.SZ,202409,1
300866.SZ,202409,1
300979.SZ,202409,3
300996.SZ,202409,1
301018.SZ,202409,1
301061.SZ,202409,2
301285.SZ,202409,1
301333.SZ,202409,1
301381.SZ,202409,1
301498.SZ,202409,3
301589.SZ,202409,2
600011.SH,202409,1
600020.SH,202409,1
600025.SH,202409,1
600027.SH,202409,1
600028.SH,202409,3
600030.SH,202409,1
600031.SH,202409,5
600036.SH,202409,2
600048.SH,202409,1
600050.SH,202409,1
600079.SH,202409,2
600094.SH,202409,1
600096.SH,202409,1
600114.SH,202409,1
600141.SH,202409,1
600150.SH,202409,1
600160.SH,202409,1
600163.SH,202409,1
600188.SH,202409,1
600200.SH,202409,1
600216.SH,202409,1
600219.SH,202409,1
600233.SH,202409,3
600276.SH,202409,2
600298.SH,202409,3
600299.SH,202409,1
600309.SH,202409,3
600346.SH,202409,1
600361.SH,202409,1
600377.SH,202409,1
600406.SH,202409,1
600415.SH,202409,2
600418.SH,202409,1
600487.SH,202409,2
600489.SH,202409,1
600519.SH,202409,1
600522.SH,202409,1
600529.SH,202409,2
600547.SH,202409,2
600584.SH,202409,2
600585.SH,202409,1
600660.SH,202409,1
600661.SH,202409,1
600760.SH,202409,1
