ts_code,month,count
000001.SZ,202010,6
000002.SZ,202010,2
000026.SZ,202010,1
000049.SZ,202010,1
000157.SZ,202010,1
000333.SZ,202010,3
000547.SZ,202010,1
000550.SZ,202010,1
000568.SZ,202010,1
000651.SZ,202010,2
000703.SZ,202010,1
000725.SZ,202010,2
000786.SZ,202010,1
000858.SZ,202010,9
000860.SZ,202010,1
000887.SZ,202010,1
000967.SZ,202010,1
001914.SZ,202010,1
002007.SZ,202010,2
002027.SZ,202010,4
002078.SZ,202010,2
002120.SZ,202010,1
002126.SZ,202010,1
002128.SZ,202010,1
002139.SZ,202010,1
002165.SZ,202010,1
002179.SZ,202010,1
002225.SZ,202010,1
002237.SZ,202010,1
002241.SZ,202010,3
002242.SZ,202010,1
002250.SZ,202010,1
002311.SZ,202010,2
002312.SZ,202010,1
002315.SZ,202010,1
002352.SZ,202010,1
002372.SZ,202010,1
002384.SZ,202010,1
002405.SZ,202010,1
002410.SZ,202010,1
002422.SZ,202010,1
002438.SZ,202010,2
002475.SZ,202010,2
002493.SZ,202010,1
002497.SZ,202010,1
002511.SZ,202010,2
002541.SZ,202010,2
002555.SZ,202010,1
002568.SZ,202010,1
002594.SZ,202010,2
002601.SZ,202010,3
002607.SZ,202010,2
002624.SZ,202010,2
002643.SZ,202010,1
002683.SZ,202010,1
002699.SZ,202010,1
002705.SZ,202010,1
002709.SZ,202010,1
002726.SZ,202010,1
002738.SZ,202010,1
002743.SZ,202010,1
002757.SZ,202010,1
002798.SZ,202010,1
002812.SZ,202010,1
002832.SZ,202010,1
002833.SZ,202010,1
002851.SZ,202010,1
002912.SZ,202010,1
002925.SZ,202010,1
002991.SZ,202010,1
300014.SZ,202010,1
300015.SZ,202010,1
300019.SZ,202010,1
300035.SZ,202010,1
300037.SZ,202010,1
300041.SZ,202010,1
300073.SZ,202010,4
300087.SZ,202010,1
300118.SZ,202010,1
300122.SZ,202010,5
300132.SZ,202010,2
300233.SZ,202010,1
300238.SZ,202010,1
300251.SZ,202010,1
300258.SZ,202010,1
300298.SZ,202010,1
300332.SZ,202010,1
300348.SZ,202010,1
300363.SZ,202010,1
300369.SZ,202010,1
300413.SZ,202010,6
300433.SZ,202010,2
300450.SZ,202010,2
300451.SZ,202010,1
300454.SZ,202010,1
300470.SZ,202010,1
300496.SZ,202010,2
300502.SZ,202010,1
300503.SZ,202010,1
300577.SZ,202010,1
300613.SZ,202010,1
300639.SZ,202010,1
300747.SZ,202010,1
300750.SZ,202010,6
300751.SZ,202010,2
300760.SZ,202010,1
300767.SZ,202010,1
300785.SZ,202010,1
600009.SH,202010,1
600031.SH,202010,7
600036.SH,202010,2
600038.SH,202010,1
600048.SH,202010,1
600063.SH,202010,1
600104.SH,202010,1
600176.SH,202010,2
600183.SH,202010,2
600201.SH,202010,1
600258.SH,202010,1
600298.SH,202010,1
600309.SH,202010,2
600316.SH,202010,1
600346.SH,202010,2
600383.SH,202010,4
600395.SH,202010,1
600399.SH,202010,1
600409.SH,202010,1
600416.SH,202010,1
600438.SH,202010,3
600486.SH,202010,1
600519.SH,202010,6
600563.SH,202010,1
600588.SH,202010,3
600600.SH,202010,1
600699.SH,202010,1
600754.SH,202010,1
600801.SH,202010,1
600809.SH,202010,2
600859.SH,202010,1
600893.SH,202010,1
600900.SH,202010,2
600926.SH,202010,1
600988.SH,202010,1
600989.SH,202010,1
601012.SH,202010,5
601021.SH,202010,4
601088.SH,202010,1
601166.SH,202010,1
601168.SH,202010,1
601211.SH,202010,1
601225.SH,202010,1
601231.SH,202010,2
601233.SH,202010,1
601318.SH,202010,7
601336.SH,202010,1
601577.SH,202010,1
601601.SH,202010,2
601633.SH,202010,5
601636.SH,202010,3
601688.SH,202010,1
601838.SH,202010,1
601865.SH,202010,2
601878.SH,202010,1
601888.SH,202010,2
601899.SH,202010,2
601965.SH,202010,1
601966.SH,202010,1
603131.SH,202010,2
603185.SH,202010,1
603187.SH,202010,1
603218.SH,202010,1
603236.SH,202010,2
603267.SH,202010,1
603313.SH,202010,1
603444.SH,202010,1
603535.SH,202010,1
603566.SH,202010,1
603589.SH,202010,1
603596.SH,202010,2
603605.SH,202010,2
603613.SH,202010,1
603659.SH,202010,1
603678.SH,202010,1
603730.SH,202010,1
603801.SH,202010,1
603833.SH,202010,2
603881.SH,202010,1
603883.SH,202010,1
603898.SH,202010,1
603919.SH,202010,1
603995.SH,202010,1
688001.SH,202010,1
688006.SH,202010,1
688036.SH,202010,1
688069.SH,202010,1
688099.SH,202010,1
688169.SH,202010,1
688289.SH,202010,1
688333.SH,202010,1
688550.SH,202010,1
688561.SH,202010,2
