ts_code,month,count
000002.SZ,202406,2
000039.SZ,202406,1
000157.SZ,202406,1
000333.SZ,202406,3
000338.SZ,202406,1
000425.SZ,202406,1
000426.SZ,202406,1
000543.SZ,202406,2
000625.SZ,202406,1
000651.SZ,202406,1
000657.SZ,202406,1
000682.SZ,202406,2
000725.SZ,202406,1
000729.SZ,202406,1
000786.SZ,202406,1
000830.SZ,202406,1
000876.SZ,202406,1
000902.SZ,202406,1
000921.SZ,202406,1
000960.SZ,202406,1
000977.SZ,202406,1
000999.SZ,202406,1
001201.SZ,202406,1
001328.SZ,202406,1
001330.SZ,202406,1
001696.SZ,202406,1
001965.SZ,202406,1
001979.SZ,202406,1
002003.SZ,202406,1
002019.SZ,202406,1
002025.SZ,202406,1
002028.SZ,202406,2
002073.SZ,202406,1
002078.SZ,202406,1
002120.SZ,202406,1
002126.SZ,202406,1
002128.SZ,202406,1
002154.SZ,202406,1
002155.SZ,202406,1
002179.SZ,202406,1
002182.SZ,202406,1
002225.SZ,202406,2
002230.SZ,202406,1
002244.SZ,202406,1
002299.SZ,202406,2
002353.SZ,202406,1
002371.SZ,202406,1
002372.SZ,202406,1
002409.SZ,202406,1
002436.SZ,202406,1
002463.SZ,202406,1
002475.SZ,202406,2
002493.SZ,202406,1
002532.SZ,202406,1
002541.SZ,202406,3
002550.SZ,202406,1
002567.SZ,202406,1
002568.SZ,202406,1
002594.SZ,202406,4
002675.SZ,202406,2
002714.SZ,202406,5
002739.SZ,202406,1
002837.SZ,202406,1
002840.SZ,202406,1
002847.SZ,202406,1
002918.SZ,202406,1
002922.SZ,202406,2
002928.SZ,202406,2
002938.SZ,202406,1
002970.SZ,202406,1
003020.SZ,202406,1
003816.SZ,202406,1
300001.SZ,202406,1
300002.SZ,202406,1
300115.SZ,202406,1
300124.SZ,202406,1
300133.SZ,202406,1
300181.SZ,202406,1
300218.SZ,202406,1
300274.SZ,202406,1
300298.SZ,202406,1
300308.SZ,202406,2
300394.SZ,202406,1
300415.SZ,202406,1
300428.SZ,202406,1
300433.SZ,202406,2
300457.SZ,202406,1
300492.SZ,202406,1
300496.SZ,202406,2
300498.SZ,202406,4
300502.SZ,202406,2
300552.SZ,202406,2
300580.SZ,202406,1
300596.SZ,202406,1
300604.SZ,202406,1
300627.SZ,202406,2
300680.SZ,202406,2
300750.SZ,202406,5
300751.SZ,202406,1
300760.SZ,202406,1
300761.SZ,202406,1
300783.SZ,202406,1
300786.SZ,202406,1
300795.SZ,202406,1
300832.SZ,202406,1
300857.SZ,202406,1
301128.SZ,202406,1
301236.SZ,202406,1
301363.SZ,202406,1
600021.SH,202406,1
600026.SH,202406,1
600027.SH,202406,2
600036.SH,202406,2
600048.SH,202406,4
600054.SH,202406,1
600057.SH,202406,1
600066.SH,202406,1
600114.SH,202406,1
600129.SH,202406,1
600131.SH,202406,1
600150.SH,202406,1
600161.SH,202406,2
600188.SH,202406,1
600256.SH,202406,1
600309.SH,202406,4
600346.SH,202406,1
600398.SH,202406,1
600406.SH,202406,1
600418.SH,202406,1
600428.SH,202406,1
600435.SH,202406,1
600456.SH,202406,1
600486.SH,202406,1
600487.SH,202406,1
600521.SH,202406,1
600522.SH,202406,2
600546.SH,202406,2
600547.SH,202406,3
600566.SH,202406,1
600583.SH,202406,1
600585.SH,202406,1
600600.SH,202406,2
600661.SH,202406,1
600685.SH,202406,1
600729.SH,202406,1
600760.SH,202406,1
600764.SH,202406,1
600861.SH,202406,1
600875.SH,202406,1
600900.SH,202406,3
600901.SH,202406,1
600916.SH,202406,1
600919.SH,202406,1
600926.SH,202406,1
600938.SH,202406,6
600941.SH,202406,1
600976.SH,202406,3
601058.SH,202406,1
601077.SH,202406,1
601088.SH,202406,3
601100.SH,202406,1
601117.SH,202406,1
601127.SH,202406,1
601138.SH,202406,2
601156.SH,202406,1
601166.SH,202406,2
601233.SH,202406,1
601369.SH,202406,1
601390.SH,202406,2
601398.SH,202406,1
601528.SH,202406,1
601595.SH,202406,1
601600.SH,202406,1
601628.SH,202406,1
601633.SH,202406,1
601665.SH,202406,1
601799.SH,202406,1
601838.SH,202406,1
601857.SH,202406,3
601872.SH,202406,1
601899.SH,202406,4
601918.SH,202406,2
601919.SH,202406,1
601985.SH,202406,1
601995.SH,202406,1
603055.SH,202406,1
603103.SH,202406,1
603129.SH,202406,1
603193.SH,202406,1
603236.SH,202406,1
603296.SH,202406,1
603345.SH,202406,1
603358.SH,202406,1
603360.SH,202406,1
603383.SH,202406,1
603477.SH,202406,1
603568.SH,202406,1
603606.SH,202406,2
603619.SH,202406,2
603661.SH,202406,2
603713.SH,202406,2
603816.SH,202406,1
603883.SH,202406,2
603885.SH,202406,1
603889.SH,202406,1
603939.SH,202406,2
603977.SH,202406,1
603986.SH,202406,1
603993.SH,202406,3
605098.SH,202406,1
605296.SH,202406,1
605499.SH,202406,1
688037.SH,202406,1
688088.SH,202406,1
688110.SH,202406,1
688111.SH,202406,2
688136.SH,202406,1
688150.SH,202406,1
688169.SH,202406,3
688188.SH,202406,1
688208.SH,202406,1
688256.SH,202406,1
688281.SH,202406,1
688300.SH,202406,1
688305.SH,202406,1
688361.SH,202406,1
688378.SH,202406,1
688480.SH,202406,1
688522.SH,202406,1
688526.SH,202406,1
688651.SH,202406,1
688676.SH,202406,3
688777.SH,202406,2
832982.BJ,202406,1
