ts_code,month,count
000333.SZ,202511,2
000400.SZ,202511,1
000408.SZ,202511,1
000524.SZ,202511,1
000568.SZ,202511,1
000700.SZ,202511,1
000792.SZ,202511,1
000807.SZ,202511,3
000893.SZ,202511,2
000923.SZ,202511,1
000932.SZ,202511,1
000933.SZ,202511,4
000951.SZ,202511,1
000962.SZ,202511,2
001206.SZ,202511,1
001339.SZ,202511,1
002008.SZ,202511,1
002028.SZ,202511,1
002044.SZ,202511,1
002050.SZ,202511,2
002080.SZ,202511,2
002100.SZ,202511,2
002128.SZ,202511,1
002138.SZ,202511,2
002142.SZ,202511,1
002202.SZ,202511,1
002230.SZ,202511,1
002241.SZ,202511,1
002244.SZ,202511,1
002270.SZ,202511,1
002317.SZ,202511,1
002353.SZ,202511,1
002371.SZ,202511,1
002392.SZ,202511,1
002409.SZ,202511,2
002415.SZ,202511,1
002463.SZ,202511,2
002472.SZ,202511,1
002475.SZ,202511,2
002487.SZ,202511,1
002497.SZ,202511,1
002517.SZ,202511,2
002532.SZ,202511,2
002558.SZ,202511,3
002626.SZ,202511,1
002648.SZ,202511,1
002675.SZ,202511,1
002683.SZ,202511,1
002701.SZ,202511,1
002709.SZ,202511,3
002714.SZ,202511,4
002738.SZ,202511,2
002765.SZ,202511,1
002847.SZ,202511,1
002851.SZ,202511,1
002881.SZ,202511,1
002891.SZ,202511,1
002906.SZ,202511,1
002916.SZ,202511,1
002920.SZ,202511,1
002928.SZ,202511,1
002940.SZ,202511,1
002946.SZ,202511,1
002956.SZ,202511,2
003816.SZ,202511,1
300003.SZ,202511,1
300014.SZ,202511,2
300058.SZ,202511,1
300073.SZ,202511,1
300115.SZ,202511,1
300124.SZ,202511,1
300136.SZ,202511,1
300207.SZ,202511,2
300223.SZ,202511,1
300274.SZ,202511,3
300308.SZ,202511,6
300347.SZ,202511,1
300353.SZ,202511,1
300395.SZ,202511,1
300408.SZ,202511,1
300421.SZ,202511,1
300433.SZ,202511,1
300438.SZ,202511,1
300442.SZ,202511,1
300454.SZ,202511,1
300476.SZ,202511,1
300498.SZ,202511,1
300502.SZ,202511,2
300577.SZ,202511,1
300593.SZ,202511,2
300602.SZ,202511,1
300609.SZ,202511,1
300619.SZ,202511,1
300633.SZ,202511,1
300658.SZ,202511,1
300677.SZ,202511,1
300680.SZ,202511,1
300731.SZ,202511,1
300738.SZ,202511,1
