ts_code,month,count
000001.SZ,202302,2
000002.SZ,202302,1
000661.SZ,202302,1
000733.SZ,202302,1
000792.SZ,202302,1
000799.SZ,202302,2
000803.SZ,202302,1
000807.SZ,202302,1
000831.SZ,202302,1
000858.SZ,202302,4
000915.SZ,202302,1
000921.SZ,202302,1
000938.SZ,202302,1
000962.SZ,202302,1
001269.SZ,202302,1
001979.SZ,202302,1
002025.SZ,202302,2
002027.SZ,202302,1
002049.SZ,202302,2
002126.SZ,202302,1
002142.SZ,202302,1
002160.SZ,202302,1
002179.SZ,202302,1
002223.SZ,202302,1
002230.SZ,202302,2
002244.SZ,202302,1
002254.SZ,202302,1
002271.SZ,202302,1
002311.SZ,202302,1
002318.SZ,202302,1
002324.SZ,202302,1
002352.SZ,202302,1
002368.SZ,202302,1
002372.SZ,202302,1
002439.SZ,202302,1
002459.SZ,202302,1
002466.SZ,202302,2
002487.SZ,202302,2
002517.SZ,202302,1
002536.SZ,202302,1
002594.SZ,202302,4
002607.SZ,202302,2
002648.SZ,202302,1
002683.SZ,202302,1
002714.SZ,202302,1
002738.SZ,202302,2
002812.SZ,202302,1
002821.SZ,202302,1
002840.SZ,202302,1
002867.SZ,202302,1
002920.SZ,202302,2
002966.SZ,202302,1
002991.SZ,202302,1
003020.SZ,202302,2
003021.SZ,202302,1
003022.SZ,202302,1
003029.SZ,202302,1
300015.SZ,202302,1
300034.SZ,202302,1
300058.SZ,202302,1
300059.SZ,202302,4
300092.SZ,202302,1
300144.SZ,202302,1
300161.SZ,202302,1
300274.SZ,202302,2
300298.SZ,202302,1
300316.SZ,202302,1
300351.SZ,202302,1
300413.SZ,202302,1
300428.SZ,202302,1
300450.SZ,202302,1
300454.SZ,202302,2
300481.SZ,202302,1
300496.SZ,202302,1
300586.SZ,202302,1
300687.SZ,202302,1
300700.SZ,202302,1
300718.SZ,202302,1
300724.SZ,202302,1
300750.SZ,202302,3
300755.SZ,202302,1
300760.SZ,202302,2
300782.SZ,202302,2
300811.SZ,202302,1
300850.SZ,202302,1
300919.SZ,202302,1
301000.SZ,202302,1
301099.SZ,202302,1
301153.SZ,202302,1
301227.SZ,202302,1
301296.SZ,202302,1
301377.SZ,202302,1
600009.SH,202302,1
600026.SH,202302,1
600030.SH,202302,2
600166.SH,202302,1
600176.SH,202302,1
600188.SH,202302,1
600256.SH,202302,1
600276.SH,202302,2
600418.SH,202302,1
600483.SH,202302,1
600519.SH,202302,1
600546.SH,202302,1
600570.SH,202302,3
600633.SH,202302,1
600690.SH,202302,1
600702.SH,202302,1
600732.SH,202302,1
600754.SH,202302,2
600809.SH,202302,1
600845.SH,202302,2
600862.SH,202302,1
600887.SH,202302,3
600933.SH,202302,2
600941.SH,202302,2
600958.SH,202302,4
600989.SH,202302,1
601012.SH,202302,1
601058.SH,202302,1
601226.SH,202302,1
601318.SH,202302,1
601456.SH,202302,1
601628.SH,202302,1
601636.SH,202302,3
601677.SH,202302,2
601702.SH,202302,1
601728.SH,202302,1
601872.SH,202302,1
601888.SH,202302,6
603027.SH,202302,1
603051.SH,202302,1
603108.SH,202302,1
603179.SH,202302,1
603198.SH,202302,1
603208.SH,202302,1
603212.SH,202302,1
603236.SH,202302,1
603259.SH,202302,1
603288.SH,202302,1
603338.SH,202302,1
603369.SH,202302,1
603486.SH,202302,1
603501.SH,202302,1
603508.SH,202302,1
603517.SH,202302,1
603605.SH,202302,2
603613.SH,202302,1
603738.SH,202302,1
603778.SH,202302,1
603806.SH,202302,1
603833.SH,202302,1
603859.SH,202302,1
603893.SH,202302,2
603993.SH,202302,2
605286.SH,202302,1
605376.SH,202302,1
688007.SH,202302,1
688017.SH,202302,2
688036.SH,202302,1
688052.SH,202302,1
688059.SH,202302,1
688065.SH,202302,1
688100.SH,202302,1
688111.SH,202302,1
688169.SH,202302,1
688196.SH,202302,1
688213.SH,202302,1
688246.SH,202302,1
688266.SH,202302,1
688278.SH,202302,1
688311.SH,202302,1
688390.SH,202302,1
688518.SH,202302,1
688561.SH,202302,1
688617.SH,202302,1
688630.SH,202302,1
688722.SH,202302,1
688789.SH,202302,1
