ts_code,month,count
000001.SZ,202107,2
000063.SZ,202107,3
000301.SZ,202107,1
000568.SZ,202107,3
000718.SZ,202107,1
000830.SZ,202107,1
000858.SZ,202107,3
000983.SZ,202107,1
002010.SZ,202107,1
002013.SZ,202107,1
002049.SZ,202107,2
002064.SZ,202107,1
002091.SZ,202107,1
002119.SZ,202107,1
002129.SZ,202107,2
002139.SZ,202107,1
002142.SZ,202107,1
002145.SZ,202107,1
002179.SZ,202107,1
002191.SZ,202107,1
002223.SZ,202107,2
002230.SZ,202107,1
002241.SZ,202107,4
002245.SZ,202107,1
002258.SZ,202107,1
002271.SZ,202107,1
002274.SZ,202107,1
002304.SZ,202107,1
002353.SZ,202107,2
002371.SZ,202107,1
002407.SZ,202107,1
002414.SZ,202107,1
002415.SZ,202107,1
002434.SZ,202107,1
002466.SZ,202107,3
002475.SZ,202107,1
002493.SZ,202107,1
002511.SZ,202107,1
002555.SZ,202107,2
002567.SZ,202107,1
002614.SZ,202107,1
002624.SZ,202107,2
002648.SZ,202107,2
002651.SZ,202107,2
002739.SZ,202107,1
002747.SZ,202107,2
002824.SZ,202107,1
002847.SZ,202107,1
002867.SZ,202107,1
002908.SZ,202107,1
002925.SZ,202107,1
002928.SZ,202107,1
002957.SZ,202107,1
003016.SZ,202107,1
003021.SZ,202107,1
003816.SZ,202107,1
300015.SZ,202107,1
300059.SZ,202107,6
300073.SZ,202107,1
300082.SZ,202107,1
300122.SZ,202107,2
300124.SZ,202107,1
300144.SZ,202107,2
300196.SZ,202107,1
300223.SZ,202107,1
300258.SZ,202107,1
300260.SZ,202107,1
300274.SZ,202107,1
300294.SZ,202107,1
300316.SZ,202107,3
300347.SZ,202107,1
300363.SZ,202107,1
300379.SZ,202107,1
300382.SZ,202107,1
300408.SZ,202107,1
300432.SZ,202107,1
300454.SZ,202107,1
300474.SZ,202107,1
300543.SZ,202107,1
300568.SZ,202107,1
300623.SZ,202107,1
300655.SZ,202107,1
300671.SZ,202107,1
300705.SZ,202107,1
300737.SZ,202107,1
300740.SZ,202107,1
300747.SZ,202107,1
300748.SZ,202107,1
300750.SZ,202107,4
300751.SZ,202107,1
300760.SZ,202107,1
300767.SZ,202107,1
300769.SZ,202107,1
300783.SZ,202107,1
300792.SZ,202107,1
300806.SZ,202107,1
300871.SZ,202107,1
300888.SZ,202107,1
300894.SZ,202107,2
300896.SZ,202107,1
300953.SZ,202107,1
300957.SZ,202107,1
300982.SZ,202107,2
600011.SH,202107,1
600025.SH,202107,1
600031.SH,202107,1
600036.SH,202107,1
600048.SH,202107,1
600063.SH,202107,1
600104.SH,202107,2
600116.SH,202107,1
600136.SH,202107,1
600176.SH,202107,1
600309.SH,202107,1
600329.SH,202107,1
600398.SH,202107,1
600426.SH,202107,1
600438.SH,202107,3
600519.SH,202107,1
600549.SH,202107,1
600570.SH,202107,1
600577.SH,202107,1
600584.SH,202107,1
600588.SH,202107,1
600600.SH,202107,2
600699.SH,202107,1
600702.SH,202107,1
600749.SH,202107,1
600763.SH,202107,2
600809.SH,202107,2
600845.SH,202107,1
600919.SH,202107,1
600958.SH,202107,1
600968.SH,202107,1
600985.SH,202107,1
601009.SH,202107,2
601012.SH,202107,2
601038.SH,202107,1
601100.SH,202107,1
601111.SH,202107,1
601208.SH,202107,1
601233.SH,202107,2
601238.SH,202107,1
601633.SH,202107,2
601636.SH,202107,1
601677.SH,202107,2
601689.SH,202107,1
601799.SH,202107,1
601888.SH,202107,2
601919.SH,202107,1
603010.SH,202107,1
603027.SH,202107,1
603076.SH,202107,1
603108.SH,202107,1
603185.SH,202107,1
603187.SH,202107,1
603218.SH,202107,1
603236.SH,202107,1
603259.SH,202107,2
603290.SH,202107,3
603300.SH,202107,1
603355.SH,202107,1
603396.SH,202107,1
603456.SH,202107,1
603517.SH,202107,1
603583.SH,202107,1
603587.SH,202107,1
603605.SH,202107,1
603658.SH,202107,1
603678.SH,202107,1
603697.SH,202107,1
603733.SH,202107,1
603799.SH,202107,2
603806.SH,202107,2
603816.SH,202107,3
603833.SH,202107,1
603885.SH,202107,1
603899.SH,202107,1
603906.SH,202107,1
603979.SH,202107,1
603986.SH,202107,3
605080.SH,202107,1
605098.SH,202107,1
688005.SH,202107,2
688029.SH,202107,1
688036.SH,202107,1
688085.SH,202107,1
688088.SH,202107,1
688111.SH,202107,1
688122.SH,202107,1
688208.SH,202107,1
688268.SH,202107,1
688299.SH,202107,1
688301.SH,202107,2
688363.SH,202107,1
688390.SH,202107,2
688508.SH,202107,1
688568.SH,202107,1
688598.SH,202107,3
688611.SH,202107,1
688636.SH,202107,1
688696.SH,202107,1
688700.SH,202107,1
688777.SH,202107,1
