ts_code,month,count
000002.SZ,202011,1
000066.SZ,202011,1
000100.SZ,202011,1
000550.SZ,202011,1
000568.SZ,202011,2
000625.SZ,202011,2
000651.SZ,202011,1
000661.SZ,202011,2
000725.SZ,202011,1
000858.SZ,202011,3
000885.SZ,202011,1
000887.SZ,202011,1
001914.SZ,202011,2
002027.SZ,202011,2
002048.SZ,202011,1
002139.SZ,202011,1
002142.SZ,202011,1
002165.SZ,202011,1
002241.SZ,202011,2
002245.SZ,202011,1
002266.SZ,202011,1
002285.SZ,202011,1
002304.SZ,202011,1
002311.SZ,202011,1
002312.SZ,202011,1
002352.SZ,202011,1
002402.SZ,202011,1
002438.SZ,202011,2
002459.SZ,202011,2
002508.SZ,202011,1
002585.SZ,202011,1
002607.SZ,202011,2
002726.SZ,202011,1
002738.SZ,202011,1
002757.SZ,202011,1
002938.SZ,202011,2
300012.SZ,202011,1
300015.SZ,202011,2
300035.SZ,202011,1
300037.SZ,202011,2
300073.SZ,202011,1
300082.SZ,202011,1
300118.SZ,202011,1
300233.SZ,202011,1
300258.SZ,202011,1
300260.SZ,202011,1
300308.SZ,202011,1
300394.SZ,202011,1
300413.SZ,202011,1
300433.SZ,202011,2
300438.SZ,202011,2
300496.SZ,202011,1
300613.SZ,202011,1
300661.SZ,202011,1
300738.SZ,202011,1
300740.SZ,202011,1
300750.SZ,202011,1
300761.SZ,202011,1
300767.SZ,202011,1
300769.SZ,202011,1
300785.SZ,202011,1
300888.SZ,202011,1
300896.SZ,202011,1
300999.SZ,202011,1
600019.SH,202011,1
600031.SH,202011,1
600036.SH,202011,2
600063.SH,202011,1
600104.SH,202011,3
600176.SH,202011,1
600378.SH,202011,2
600383.SH,202011,1
600395.SH,202011,1
600399.SH,202011,1
600409.SH,202011,1
600416.SH,202011,1
600486.SH,202011,1
600496.SH,202011,1
600519.SH,202011,1
600588.SH,202011,1
600690.SH,202011,1
600699.SH,202011,2
600809.SH,202011,1
600845.SH,202011,1
600985.SH,202011,2
601012.SH,202011,1
601100.SH,202011,3
601128.SH,202011,1
601166.SH,202011,1
601238.SH,202011,1
601318.SH,202011,1
601336.SH,202011,1
601601.SH,202011,1
601636.SH,202011,1
601668.SH,202011,1
601865.SH,202011,1
601888.SH,202011,1
601899.SH,202011,1
601919.SH,202011,1
601965.SH,202011,1
601966.SH,202011,1
603128.SH,202011,2
603131.SH,202011,2
603259.SH,202011,1
603267.SH,202011,1
603301.SH,202011,1
603313.SH,202011,1
603369.SH,202011,1
603387.SH,202011,1
603489.SH,202011,1
603520.SH,202011,1
603566.SH,202011,1
603599.SH,202011,1
603612.SH,202011,1
603659.SH,202011,1
603661.SH,202011,1
603801.SH,202011,1
603833.SH,202011,1
603855.SH,202011,1
603906.SH,202011,1
688002.SH,202011,1
688023.SH,202011,1
688129.SH,202011,1
688169.SH,202011,1
688561.SH,202011,1
