ts_code,month,count
000002.SZ,202309,1
000034.SZ,202309,2
000063.SZ,202309,1
000090.SZ,202309,1
000333.SZ,202309,1
000425.SZ,202309,1
000543.SZ,202309,1
000568.SZ,202309,2
000625.SZ,202309,2
000786.SZ,202309,4
000893.SZ,202309,1
000902.SZ,202309,1
000933.SZ,202309,1
000938.SZ,202309,2
000963.SZ,202309,1
000997.SZ,202309,1
001223.SZ,202309,1
001979.SZ,202309,1
002049.SZ,202309,1
002138.SZ,202309,2
002142.SZ,202309,2
002179.SZ,202309,1
002244.SZ,202309,1
002311.SZ,202309,1
002353.SZ,202309,1
002371.SZ,202309,1
002459.SZ,202309,1
002475.SZ,202309,1
002517.SZ,202309,1
002567.SZ,202309,1
002698.SZ,202309,1
002847.SZ,202309,1
002867.SZ,202309,1
002920.SZ,202309,1
002925.SZ,202309,1
002993.SZ,202309,1
003031.SZ,202309,1
300002.SZ,202309,1
300015.SZ,202309,1
300036.SZ,202309,1
300298.SZ,202309,1
300308.SZ,202309,1
300354.SZ,202309,1
300413.SZ,202309,1
300476.SZ,202309,1
300491.SZ,202309,2
300494.SZ,202309,1
300593.SZ,202309,1
300617.SZ,202309,1
300687.SZ,202309,1
300750.SZ,202309,1
300762.SZ,202309,1
300782.SZ,202309,3
300833.SZ,202309,1
300955.SZ,202309,1
300957.SZ,202309,2
301030.SZ,202309,1
301085.SZ,202309,1
301096.SZ,202309,1
301257.SZ,202309,1
301378.SZ,202309,1
600019.SH,202309,1
600028.SH,202309,1
600029.SH,202309,1
600030.SH,202309,2
600050.SH,202309,1
600085.SH,202309,1
600129.SH,202309,1
600150.SH,202309,2
600266.SH,202309,1
600309.SH,202309,1
600378.SH,202309,1
600435.SH,202309,1
600489.SH,202309,2
600519.SH,202309,3
600546.SH,202309,2
600583.SH,202309,1
600732.SH,202309,1
600765.SH,202309,1
600809.SH,202309,2
600848.SH,202309,1
600919.SH,202309,1
600926.SH,202309,1
600933.SH,202309,1
600941.SH,202309,1
601100.SH,202309,1
601108.SH,202309,1
601128.SH,202309,1
601138.SH,202309,1
601155.SH,202309,1
601233.SH,202309,2
601318.SH,202309,1
601333.SH,202309,1
601336.SH,202309,1
601633.SH,202309,1
601677.SH,202309,1
601688.SH,202309,1
601799.SH,202309,1
601800.SH,202309,1
601857.SH,202309,1
601965.SH,202309,1
601975.SH,202309,1
603179.SH,202309,2
603197.SH,202309,3
603225.SH,202309,1
603369.SH,202309,2
603589.SH,202309,1
603596.SH,202309,1
603816.SH,202309,1
603871.SH,202309,1
603993.SH,202309,1
605090.SH,202309,1
688099.SH,202309,1
688112.SH,202309,1
688147.SH,202309,1
688169.SH,202309,1
688351.SH,202309,1
688385.SH,202309,1
688480.SH,202309,1
688711.SH,202309,1
