ts_code,month,count
000002.SZ,202404,1
000039.SZ,202404,1
000066.SZ,202404,1
000333.SZ,202404,3
000338.SZ,202404,2
000423.SZ,202404,1
000425.SZ,202404,1
000543.SZ,202404,1
000568.SZ,202404,2
000625.SZ,202404,2
000630.SZ,202404,1
000661.SZ,202404,1
000685.SZ,202404,1
000786.SZ,202404,1
000858.SZ,202404,1
001914.SZ,202404,1
001965.SZ,202404,2
001979.SZ,202404,2
002011.SZ,202404,2
002028.SZ,202404,1
002111.SZ,202404,1
002142.SZ,202404,1
002222.SZ,202404,1
002254.SZ,202404,1
002262.SZ,202404,1
002299.SZ,202404,1
002353.SZ,202404,1
002371.SZ,202404,3
002430.SZ,202404,1
002463.SZ,202404,1
002483.SZ,202404,1
002624.SZ,202404,1
002648.SZ,202404,2
002739.SZ,202404,1
002920.SZ,202404,3
002925.SZ,202404,1
002946.SZ,202404,1
002991.SZ,202404,1
300002.SZ,202404,1
300049.SZ,202404,1
300119.SZ,202404,1
300124.SZ,202404,2
300130.SZ,202404,1
300251.SZ,202404,2
300308.SZ,202404,1
300360.SZ,202404,1
300364.SZ,202404,1
300433.SZ,202404,1
300442.SZ,202404,1
300498.SZ,202404,2
300567.SZ,202404,1
300577.SZ,202404,1
300583.SZ,202404,1
300601.SZ,202404,1
300633.SZ,202404,1
300685.SZ,202404,1
300698.SZ,202404,1
300750.SZ,202404,7
300777.SZ,202404,1
300791.SZ,202404,1
300832.SZ,202404,1
300857.SZ,202404,1
300861.SZ,202404,1
300866.SZ,202404,1
301168.SZ,202404,1
301185.SZ,202404,1
301280.SZ,202404,1
301306.SZ,202404,1
301376.SZ,202404,1
301498.SZ,202404,1
301589.SZ,202404,1
600036.SH,202404,1
600048.SH,202404,1
600050.SH,202404,2
600054.SH,202404,1
600066.SH,202404,2
600160.SH,202404,1
600161.SH,202404,1
600188.SH,202404,2
600233.SH,202404,1
600266.SH,202404,1
600276.SH,202404,1
600312.SH,202404,1
600398.SH,202404,1
600406.SH,202404,1
600547.SH,202404,2
600549.SH,202404,1
600557.SH,202404,1
600584.SH,202404,1
600600.SH,202404,2
600603.SH,202404,1
600612.SH,202404,1
600685.SH,202404,1
600795.SH,202404,1
600803.SH,202404,1
600820.SH,202404,1
600845.SH,202404,1
600900.SH,202404,3
600919.SH,202404,2
600926.SH,202404,1
600933.SH,202404,1
600938.SH,202404,5
600941.SH,202404,1
600989.SH,202404,1
601001.SH,202404,1
601021.SH,202404,1
601058.SH,202404,1
601088.SH,202404,1
601100.SH,202404,1
601128.SH,202404,1
601138.SH,202404,1
601288.SH,202404,1
601390.SH,202404,2
601665.SH,202404,1
601689.SH,202404,1
601699.SH,202404,1
601702.SH,202404,1
601808.SH,202404,1
601838.SH,202404,1
601857.SH,202404,2
601881.SH,202404,1
601899.SH,202404,1
601918.SH,202404,1
601919.SH,202404,1
601975.SH,202404,1
601998.SH,202404,1
603179.SH,202404,1
603199.SH,202404,1
603278.SH,202404,1
603283.SH,202404,1
603300.SH,202404,1
603345.SH,202404,1
603369.SH,202404,1
603508.SH,202404,1
603568.SH,202404,1
603619.SH,202404,1
603855.SH,202404,1
603939.SH,202404,1
603993.SH,202404,1
603997.SH,202404,1
605196.SH,202404,1
605499.SH,202404,1
688003.SH,202404,1
688037.SH,202404,1
688041.SH,202404,4
688111.SH,202404,5
688162.SH,202404,1
688169.SH,202404,1
688210.SH,202404,1
688266.SH,202404,1
688312.SH,202404,1
688337.SH,202404,1
688351.SH,202404,1
688378.SH,202404,1
688409.SH,202404,1
688525.SH,202404,1
688551.SH,202404,1
688556.SH,202404,1
688568.SH,202404,1
688582.SH,202404,1
688601.SH,202404,1
688621.SH,202404,1
688631.SH,202404,1
688668.SH,202404,1
688711.SH,202404,1
688776.SH,202404,1
688777.SH,202404,1
688798.SH,202404,1
