ts_code,month,count
000039.SZ,202312,1
000333.SZ,202312,1
000568.SZ,202312,1
000625.SZ,202312,3
000862.SZ,202312,1
000887.SZ,202312,1
000983.SZ,202312,1
001270.SZ,202312,1
001339.SZ,202312,1
001380.SZ,202312,1
001979.SZ,202312,1
002011.SZ,202312,2
002028.SZ,202312,1
002100.SZ,202312,1
002149.SZ,202312,1
002244.SZ,202312,1
002402.SZ,202312,1
002465.SZ,202312,1
002555.SZ,202312,1
002567.SZ,202312,1
002600.SZ,202312,1
002603.SZ,202312,1
002648.SZ,202312,1
002714.SZ,202312,1
002840.SZ,202312,1
002843.SZ,202312,1
002847.SZ,202312,1
002896.SZ,202312,1
002920.SZ,202312,2
002935.SZ,202312,1
002966.SZ,202312,1
003031.SZ,202312,2
300122.SZ,202312,2
300244.SZ,202312,1
300285.SZ,202312,1
300298.SZ,202312,1
300366.SZ,202312,1
300415.SZ,202312,1
300482.SZ,202312,1
300494.SZ,202312,1
300496.SZ,202312,2
300498.SZ,202312,1
300580.SZ,202312,1
300593.SZ,202312,1
300602.SZ,202312,1
300761.SZ,202312,1
300795.SZ,202312,1
300820.SZ,202312,1
300873.SZ,202312,1
300996.SZ,202312,1
301031.SZ,202312,1
301239.SZ,202312,1
301260.SZ,202312,1
301283.SZ,202312,1
301308.SZ,202312,1
301389.SZ,202312,1
301391.SZ,202312,1
600012.SH,202312,1
600028.SH,202312,1
600029.SH,202312,1
600030.SH,202312,1
600050.SH,202312,1
600062.SH,202312,1
600114.SH,202312,2
600131.SH,202312,1
600160.SH,202312,2
600256.SH,202312,1
600276.SH,202312,2
600399.SH,202312,1
600426.SH,202312,1
600435.SH,202312,1
600456.SH,202312,1
600519.SH,202312,3
600546.SH,202312,1
600588.SH,202312,1
600612.SH,202312,1
600633.SH,202312,1
600699.SH,202312,1
600809.SH,202312,2
600867.SH,202312,1
600895.SH,202312,1
600941.SH,202312,2
600989.SH,202312,2
601088.SH,202312,2
601111.SH,202312,1
601128.SH,202312,1
601155.SH,202312,1
601225.SH,202312,1
601233.SH,202312,1
601288.SH,202312,1
601567.SH,202312,1
601633.SH,202312,1
601666.SH,202312,1
601688.SH,202312,1
601689.SH,202312,2
601699.SH,202312,1
601702.SH,202312,1
601857.SH,202312,1
601881.SH,202312,1
603093.SH,202312,1
603128.SH,202312,1
603171.SH,202312,1
603198.SH,202312,1
603297.SH,202312,1
603300.SH,202312,1
603345.SH,202312,1
603379.SH,202312,1
603477.SH,202312,2
603501.SH,202312,1
603556.SH,202312,1
603606.SH,202312,1
603612.SH,202312,1
603707.SH,202312,1
603730.SH,202312,1
603816.SH,202312,1
603883.SH,202312,1
603885.SH,202312,1
603915.SH,202312,1
603939.SH,202312,1
603979.SH,202312,1
603993.SH,202312,1
605016.SH,202312,1
605177.SH,202312,1
605499.SH,202312,1
688019.SH,202312,1
688035.SH,202312,1
688041.SH,202312,1
688046.SH,202312,1
688072.SH,202312,1
688110.SH,202312,1
688123.SH,202312,1
688132.SH,202312,1
688150.SH,202312,1
688168.SH,202312,1
688169.SH,202312,1
688180.SH,202312,1
688198.SH,202312,1
688220.SH,202312,1
688234.SH,202312,1
688246.SH,202312,1
688262.SH,202312,1
688269.SH,202312,1
688278.SH,202312,1
688378.SH,202312,1
688401.SH,202312,1
688548.SH,202312,1
688581.SH,202312,1
688617.SH,202312,1
688630.SH,202312,1
688668.SH,202312,1
688676.SH,202312,1
688687.SH,202312,1
688700.SH,202312,1
