ts_code,month,count
000001.SZ,202003,1
000002.SZ,202003,2
000034.SZ,202003,1
000063.SZ,202003,7
000100.SZ,202003,2
000333.SZ,202003,1
000401.SZ,202003,1
000547.SZ,202003,1
000568.SZ,202003,1
000625.SZ,202003,2
000733.SZ,202003,1
002007.SZ,202003,1
002048.SZ,202003,1
002055.SZ,202003,1
002078.SZ,202003,1
002080.SZ,202003,1
002180.SZ,202003,1
002212.SZ,202003,1
002241.SZ,202003,1
002254.SZ,202003,1
002281.SZ,202003,1
002324.SZ,202003,1
002352.SZ,202003,2
002456.SZ,202003,1
002460.SZ,202003,1
002463.SZ,202003,1
002507.SZ,202003,1
002541.SZ,202003,2
002555.SZ,202003,2
002602.SZ,202003,1
002624.SZ,202003,1
002643.SZ,202003,1
002666.SZ,202003,1
002697.SZ,202003,1
002706.SZ,202003,1
002756.SZ,202003,1
002916.SZ,202003,1
002955.SZ,202003,1
002959.SZ,202003,1
300010.SZ,202003,1
300059.SZ,202003,1
300070.SZ,202003,1
300121.SZ,202003,1
300168.SZ,202003,1
300212.SZ,202003,1
300250.SZ,202003,1
300294.SZ,202003,1
300416.SZ,202003,1
300433.SZ,202003,1
300450.SZ,202003,2
300476.SZ,202003,1
300482.SZ,202003,1
300498.SZ,202003,1
300624.SZ,202003,1
300699.SZ,202003,1
300724.SZ,202003,1
300750.SZ,202003,2
300767.SZ,202003,1
600031.SH,202003,1
600048.SH,202003,1
600183.SH,202003,1
600276.SH,202003,1
600378.SH,202003,1
600547.SH,202003,2
600588.SH,202003,1
600737.SH,202003,1
600837.SH,202003,1
600984.SH,202003,1
601012.SH,202003,1
601166.SH,202003,1
601186.SH,202003,1
601211.SH,202003,1
601231.SH,202003,1
601666.SH,202003,1
601689.SH,202003,1
603010.SH,202003,1
603019.SH,202003,1
603259.SH,202003,1
603345.SH,202003,2
603505.SH,202003,1
603605.SH,202003,1
603686.SH,202003,1
