ts_code,month,count
000063.SZ,202206,1
000090.SZ,202206,1
000301.SZ,202206,1
000519.SZ,202206,1
000568.SZ,202206,1
000625.SZ,202206,1
000651.SZ,202206,1
000703.SZ,202206,1
000729.SZ,202206,1
000776.SZ,202206,2
000778.SZ,202206,1
000786.SZ,202206,1
000792.SZ,202206,2
000830.SZ,202206,1
000887.SZ,202206,1
000893.SZ,202206,1
000983.SZ,202206,1
002025.SZ,202206,3
002032.SZ,202206,1
002120.SZ,202206,1
002129.SZ,202206,1
002140.SZ,202206,1
002142.SZ,202206,1
002179.SZ,202206,1
002222.SZ,202206,1
002244.SZ,202206,1
002299.SZ,202206,1
002311.SZ,202206,1
002314.SZ,202206,1
002353.SZ,202206,1
002371.SZ,202206,2
002415.SZ,202206,1
002453.SZ,202206,1
002463.SZ,202206,1
002481.SZ,202206,1
002487.SZ,202206,1
002518.SZ,202206,1
002594.SZ,202206,3
002648.SZ,202206,1
002705.SZ,202206,1
002714.SZ,202206,1
002724.SZ,202206,1
002735.SZ,202206,1
002756.SZ,202206,1
002782.SZ,202206,1
002867.SZ,202206,1
002881.SZ,202206,1
002895.SZ,202206,3
002897.SZ,202206,1
002920.SZ,202206,2
002959.SZ,202206,2
002960.SZ,202206,1
300012.SZ,202206,1
300014.SZ,202206,1
300015.SZ,202206,1
300054.SZ,202206,1
300059.SZ,202206,3
300130.SZ,202206,1
300260.SZ,202206,1
300263.SZ,202206,1
300268.SZ,202206,1
300285.SZ,202206,1
300294.SZ,202206,1
300395.SZ,202206,1
300413.SZ,202206,3
300416.SZ,202206,1
300428.SZ,202206,3
300447.SZ,202206,1
300496.SZ,202206,4
300627.SZ,202206,2
300628.SZ,202206,1
300682.SZ,202206,2
300705.SZ,202206,1
300709.SZ,202206,1
300751.SZ,202206,3
300761.SZ,202206,1
300767.SZ,202206,1
300803.SZ,202206,2
300866.SZ,202206,1
300911.SZ,202206,1
300957.SZ,202206,1
301055.SZ,202206,1
301071.SZ,202206,1
301073.SZ,202206,1
301129.SZ,202206,1
600027.SH,202206,1
600048.SH,202206,2
600111.SH,202206,1
600176.SH,202206,1
600188.SH,202206,1
600195.SH,202206,1
600233.SH,202206,1
600256.SH,202206,1
600258.SH,202206,1
600389.SH,202206,1
600409.SH,202206,1
600416.SH,202206,1
600486.SH,202206,1
600519.SH,202206,4
600549.SH,202206,1
600552.SH,202206,1
600559.SH,202206,1
600587.SH,202206,1
600600.SH,202206,5
600660.SH,202206,1
600702.SH,202206,3
600745.SH,202206,1
600887.SH,202206,1
600900.SH,202206,1
600938.SH,202206,1
600941.SH,202206,2
600986.SH,202206,1
600988.SH,202206,2
600995.SH,202206,1
601007.SH,202206,1
601009.SH,202206,1
601012.SH,202206,4
601058.SH,202206,1
601088.SH,202206,1
601111.SH,202206,1
601222.SH,202206,1
601225.SH,202206,2
601633.SH,202206,2
601666.SH,202206,1
601669.SH,202206,4
601717.SH,202206,1
601825.SH,202206,1
601838.SH,202206,1
601888.SH,202206,4
601899.SH,202206,3
601919.SH,202206,1
603112.SH,202206,1
603128.SH,202206,1
603185.SH,202206,1
603197.SH,202206,1
603198.SH,202206,1
603212.SH,202206,1
603236.SH,202206,1
603259.SH,202206,1
603300.SH,202206,1
603359.SH,202206,1
603505.SH,202206,1
603517.SH,202206,1
603558.SH,202206,1
603713.SH,202206,1
603799.SH,202206,3
603816.SH,202206,1
603822.SH,202206,1
603833.SH,202206,1
603916.SH,202206,3
603938.SH,202206,1
603939.SH,202206,1
603985.SH,202206,1
603986.SH,202206,1
603993.SH,202206,1
605108.SH,202206,1
605117.SH,202206,1
605358.SH,202206,1
688052.SH,202206,1
688063.SH,202206,1
688065.SH,202206,1
688123.SH,202206,1
688169.SH,202206,1
688187.SH,202206,2
688190.SH,202206,1
688200.SH,202206,1
688363.SH,202206,1
688559.SH,202206,1
688636.SH,202206,1
688677.SH,202206,1
688696.SH,202206,1
