ts_code,month,count
000032.SZ,202505,1
000333.SZ,202505,1
000415.SZ,202505,1
000426.SZ,202505,1
000513.SZ,202505,1
000519.SZ,202505,1
000524.SZ,202505,1
000651.SZ,202505,5
000661.SZ,202505,1
000690.SZ,202505,1
000729.SZ,202505,3
000783.SZ,202505,1
000807.SZ,202505,1
000881.SZ,202505,1
000893.SZ,202505,3
000921.SZ,202505,1
000932.SZ,202505,1
000975.SZ,202505,1
000997.SZ,202505,1
001306.SZ,202505,1
001328.SZ,202505,1
001339.SZ,202505,1
001965.SZ,202505,1
002050.SZ,202505,1
002126.SZ,202505,1
002127.SZ,202505,1
002142.SZ,202505,2
002155.SZ,202505,1
002170.SZ,202505,2
002225.SZ,202505,1
002244.SZ,202505,2
002270.SZ,202505,1
002299.SZ,202505,1
002311.SZ,202505,5
002315.SZ,202505,1
002345.SZ,202505,1
002352.SZ,202505,4
002380.SZ,202505,1
002410.SZ,202505,1
002436.SZ,202505,1
002463.SZ,202505,1
002469.SZ,202505,1
002472.SZ,202505,1
002475.SZ,202505,1
002487.SZ,202505,2
002517.SZ,202505,6
002532.SZ,202505,1
002541.SZ,202505,1
002558.SZ,202505,1
002568.SZ,202505,2
002594.SZ,202505,2
002597.SZ,202505,1
002605.SZ,202505,1
002624.SZ,202505,1
002625.SZ,202505,1
002648.SZ,202505,2
002675.SZ,202505,1
002714.SZ,202505,2
002765.SZ,202505,1
002801.SZ,202505,1
002847.SZ,202505,3
002860.SZ,202505,1
002891.SZ,202505,4
002896.SZ,202505,1
002920.SZ,202505,1
002928.SZ,202505,1
002948.SZ,202505,1
002956.SZ,202505,2
003001.SZ,202505,2
003002.SZ,202505,1
300001.SZ,202505,2
300014.SZ,202505,2
300034.SZ,202505,1
300049.SZ,202505,1
300059.SZ,202505,1
300119.SZ,202505,1
300124.SZ,202505,1
300354.SZ,202505,1
300373.SZ,202505,1
300395.SZ,202505,2
300416.SZ,202505,1
300433.SZ,202505,1
300454.SZ,202505,1
300496.SZ,202505,1
300499.SZ,202505,1
300502.SZ,202505,4
300547.SZ,202505,1
300553.SZ,202505,1
300638.SZ,202505,1
300662.SZ,202505,2
300666.SZ,202505,1
300680.SZ,202505,2
300723.SZ,202505,2
300761.SZ,202505,1
300783.SZ,202505,1
300803.SZ,202505,1
300866.SZ,202505,1
300888.SZ,202505,2
300896.SZ,202505,2
300910.SZ,202505,1
300926.SZ,202505,1
300953.SZ,202505,1
300972.SZ,202505,1
300973.SZ,202505,3
300984.SZ,202505,1
301109.SZ,202505,1
301196.SZ,202505,1
301236.SZ,202505,1
301269.SZ,202505,2
301486.SZ,202505,1
301498.SZ,202505,2
301536.SZ,202505,1
600000.SH,202505,1
600011.SH,202505,1
600020.SH,202505,1
600027.SH,202505,2
600029.SH,202505,1
600031.SH,202505,1
600039.SH,202505,1
600050.SH,202505,1
600060.SH,202505,1
600143.SH,202505,1
600163.SH,202505,1
600166.SH,202505,1
600184.SH,202505,1
600188.SH,202505,1
600233.SH,202505,1
600258.SH,202505,1
600259.SH,202505,1
600276.SH,202505,2
600285.SH,202505,1
600323.SH,202505,1
600346.SH,202505,1
600391.SH,202505,1
600398.SH,202505,1
600415.SH,202505,3
600418.SH,202505,1
600487.SH,202505,1
600519.SH,202505,4
600522.SH,202505,1
600583.SH,202505,1
600584.SH,202505,1
600585.SH,202505,2
600600.SH,202505,3
600642.SH,202505,1
600690.SH,202505,1
600694.SH,202505,1
600760.SH,202505,1
600782.SH,202505,1
600809.SH,202505,1
600900.SH,202505,1
600919.SH,202505,6
600933.SH,202505,2
600941.SH,202505,1
600967.SH,202505,1
600968.SH,202505,1
600988.SH,202505,3
601001.SH,202505,1
601077.SH,202505,1
601088.SH,202505,1
601100.SH,202505,2
601107.SH,202505,1
601127.SH,202505,1
601138.SH,202505,1
601168.SH,202505,1
601288.SH,202505,1
601336.SH,202505,1
601398.SH,202505,1
601595.SH,202505,1
601628.SH,202505,1
601633.SH,202505,1
601658.SH,202505,1
601689.SH,202505,1
601702.SH,202505,1
601825.SH,202505,1
601838.SH,202505,1
601857.SH,202505,1
601872.SH,202505,1
601899.SH,202505,4
601918.SH,202505,1
603062.SH,202505,1
603063.SH,202505,1
603100.SH,202505,1
603167.SH,202505,1
603181.SH,202505,1
603227.SH,202505,1
603259.SH,202505,1
603308.SH,202505,2
603312.SH,202505,1
603383.SH,202505,1
603416.SH,202505,1
603486.SH,202505,1
603529.SH,202505,1
603596.SH,202505,2
603605.SH,202505,7
603659.SH,202505,1
603733.SH,202505,1
603737.SH,202505,2
603893.SH,202505,1
603918.SH,202505,2
603969.SH,202505,1
603986.SH,202505,5
603993.SH,202505,1
